producto,marca,formato,cantidad,precio,supermercado
Gel limpiador wc lejía perfumada,Super Paco de Dia,Botella,1 l,"1,00 €",Dia
Gel limpiador wc azul marino,Super Paco de Dia,Botella,1 l,"1,15 €",Dia
Gel limpiador wc pino,Super Paco de Dia,Botella,1 l,"1,15 €",Dia
Colgador para wc floral,Super Paco de Dia,Blister,2 unidades,"1,69 €",Dia
Colgador para wc agua azul,Super Paco de Dia,Blister,2 unidades,"1,69 €",Dia
Limpiador de baño acción total,Super Paco de Dia,Spray,750 ml,"1,79 €",Dia
Gel desatascador para tuberías,Super Paco de Dia,Botella,1 l,"1,85 €",Dia
Colgador para wc limón,Super Paco de Dia,Blister,2 unidades,"1,69 €",Dia
Gel desinfectante wc con lejía frescor cítrico,Sanicentro,Botella,1 l,"1,89 €",Dia
Limpiador de baño,Super Paco de Dia,Spray,750 ml,"1,55 €",Dia
Colgador para wc pino,Super Paco de Dia,Blister,2 unidades,"1,69 €",Dia
Limpiador antical,Super Paco de Dia,Spray,750 ml,"1,60 €",Dia
Gel desinfectante wc aroma fresco,Sanicentro,Botella,1 l,"1,89 €",Dia
Gel limpiador wc 3 en 1 océano ,Pato,Botella,750 ml,"2,99 €",Dia
Block wc pino poder activo,Bref,Blister,2 unidades,"2,99 €",Dia
Discos activos aparato aroma lima,Pato,Blister,1 unidad,"3,49 €",Dia
Block wc azul poder activo,Bref,Blister,1 unidad,"2,15 €",Dia
Desatascador de tuberías cabellos,WC Net,Garrafa,1 l,"6,99 €",Dia
Block wc deluxe delicate magnolia,Bref,Blister,1 unidad,"2,19 €",Dia
Gel denso desatascador,WC Net,Botella,1 l,"6,99 €",Dia
Discos activos aroma lima fresca,Pato,Caja,2 unidades,"5,29 €",Dia
