producto,marca,formato,cantidad,precio,supermercado
Toallitas desmaquillantes micelar con aloe vera,Imaqe de Dia,Bolsa,30 unidades,"1,15 €",Dia
Desmaquillante de ojos waterproof,Imaqe de Dia,Bote,125 ml,"1,66 €",Dia
Toallitas desmaquillantes para pieles sensibles con extractos de rosas,Imaqe de Dia,Bolsa,30 unidades,"1,29 €",Dia
Crema facial de día natural con vitamina C,Imaqe de Dia,Frasco,50 ml,"4,95 €",Dia
Mousse limpiadora con aloe vera y hamamelis,Imaqe de Dia,Bote,150 ml,"3,00 €",Dia
Sérum facial natural con vitamina C,Imaqe de Dia,Bote,30 ml,"5,90 €",Dia
Exfoliante facial 3 en 1 kaolín y aloe,Imaqe de Dia,Tubo,100 ml,"3,50 €",Dia
Limpiador facial exfoliante con hueso de albaricoque,Imaqe de Dia,Caja,50 g,"2,99 €",Dia
Parches antiarrugas para el contorno de ojos,Iroha,Sobre,2 unidades,"2,95 €",Dia
Agua micelar natural antipolución & detox,Imaqe de Dia,Bote,200 ml,"3,49 €",Dia
Agua micelar en aceite,Garnier,Bote,400 ml,"5,49 €",Dia
Crema antiedad de día pro-collagen,Imaqe de Dia,Frasco,50 ml,"5,99 €",Dia
Crema facial de día natural antipolución & detox,Imaqe de Dia,Frasco,72 ml,"4,95 €",Dia
Toallitas desmaquillantes antiedad con coenzima,Imaqe de Dia,Bolsa,25 unidades,"1,19 €",Dia
Agua micelar todo en uno para todo tipo de piel,Garnier,Bote,400 ml,"5,49 €",Dia
Contorno de ojos natural antipolución & detox,Imaqe de Dia,Tubo,15 ml,"3,90 €",Dia
Crema de día antiarrugas spf 15,Nivea,Frasco,50 ml,"9,49 €",Dia
Desmaquillante sublime camomila,Flor de mayo,Bote,80 g,"6,99 €",Dia
Crema de día hidratante nutritiva piel seca/sensible,Diadermine,Frasco,50 ml,"10,49 €",Dia
Crema antiarrugas contorno de ojos Q 10,Nivea,Caja,15 ml,"9,99 €",Dia
Crema facial hydra 5 acciones,Men Expert,Frasco,50 ml,"7,99 €",Dia
Sérum facial efecto botox,Babaria,Tubo,30 ml,"7,80 €",Dia
Bálsamo labial con miel,Oyess,Blister,48 g,"2,99 €",Dia
Mascarilla facial after sun calmante,Iroha,Sobre,1 unidad,"2,95 €",Dia
Discos tonificantes e hidratantes con cica y arándanos,Iroha,Sobre,10 unidades,"3,95 €",Dia
Crema de día hidratante con aloe vera y ácido hialurónico,Garnier,Bote,50 ml,"10,95 €",Dia
Sérum hidratante con aloe + ácido hialurónico,Garnier,Caja,30 ml,"13,95 €",Dia
Serum rellenador con ácido hialurónico  Cellular,Nivea,Bote,30 ml,"15,99 €",Dia
Crema facial de noche antiedad intensiva  Cellular,Nivea,Frasco,50 ml,"14,99 €",Dia
Crema facial de día antiedad spf 30 Cellular,Nivea,Frasco,50 ml,"15,99 €",Dia
Crema de día vitamina C + AHA 24,Olay,Frasco,50 ml,"34,95 €",Dia
Sérum antimanchas con vitamina c,Garnier,Bote,30 ml,"13,95 €",Dia
Crema de noche retinol 24,Olay,Frasco,50 ml,"34,99 €",Dia
Crema de día collagen peptide 24,Olay,Frasco,50 ml,"34,99 €",Dia
Bruma facial natural calmante antipolución & detox,Imaqe de Dia,Spray,100 ml,"3,20 €",Dia
Sérum facial natural antipolución & detox,Imaqe de Dia,Bote,30 ml,"5,90 €",Dia
Mascarilla facial hidratante con aguacate y ácido hialurónico,Iroha,Sobre,1 unidad,"2,30 €",Dia
Crema facial noche pro-collagen,Imaqe de Dia,Frasco,50 ml,"5,99 €",Dia
Crema facial de noche natural antipolución & detox,Imaqe de Dia,Frasco,50 ml,"5,90 €",Dia
Contorno de ojos pro-collagen,Imaqe de Dia,Caja,15 ml,"5,00 €",Dia
Serum facial pro-collagen,Imaqe de Dia,Frasco,30 ml,"5,99 €",Dia
Mascarilla facial de arcilla con carbón activo,Imaqe de Dia,Tubo,100 ml,"3,50 €",Dia
Ampollas faciales vitamina c y ácido tranexámico pack,Imaqe de Dia,Caja,7 x 2 ml,"4,25 €",Dia
Mascarilla facial detox tissue,Imaqe de Dia,Sobre,1 unidad,"1,75 €",Dia
Mascarilla facial nutritiva tissue,Imaqe de Dia,Sobre,1 unidad,"1,75 €",Dia
Mascarilla facial hidratante tissue,Imaqe de Dia,Sobre,1 unidad,"1,75 €",Dia
Leche limpiadora calmante,Imaqe de Dia,Bote,250 ml,"1,55 €",Dia
Crema facial de día antimanchas spf 50  Cellular,Nivea,Frasco,40 ml,"22,69 €",Dia
Serum facial con ácido hialurónico,L'Oréal,Bote,30 ml,"23,95 €",Dia
Crema de día anti-edad botology,Diadermine,Frasco,50 ml,"10,99 €",Dia
Crema de día antiedad lavanda,Garnier,Frasco,50 ml,"8,99 €",Dia
