producto,marca,formato,cantidad,precio,supermercado
Mermelada de fresa extra,Fruticampo de Dia,Frasco,390 g,"1,50 €",Dia
Mermelada de melocotón extra,Fruticampo de Dia,Frasco,390 g,"1,50 €",Dia
Mermelada de fresa extra,Fruticampo de Dia,Frasco,650 g,"2,30 €",Dia
Piña en su jugo en rodajas,Sueños Dia,Lata,490 g,"1,95 €",Dia
Piña en su jugo en rodajas,Sueños Dia,Lata,3 x 139 g,"2,39 €",Dia
Mermelada de arándanos extra,Fruticampo de Dia,Frasco,320 g,"2,10 €",Dia
Mermelada de melocotón extra,Fruticampo de Dia,Frasco,650 g,"2,30 €",Dia
Mermelada de frutas del bosque extra,Fruticampo de Dia,Frasco,320 g,"2,10 €",Dia
Mermelada de fresa 0% sin azúcares añadidos,Fruticampo de Dia,Frasco,330 g,"1,60 €",Dia
Melocotón en almíbar en mitades,Sueños Dia,Lata,480 g,"2,05 €",Dia
Mermelada de fresa,Helios,Blister,10 x 25 g,"1,79 €",Dia
Mermelada de melocotón extra sin azúcares añadidos,Fruticampo de Dia,Frasco,330 g,"1,60 €",Dia
Melocotón en almíbar,Fruticampo de Dia,Lata,3 x 115 g,"2,35 €",Dia
Mermelada de albaricoque extra,Fruticampo de Dia,Frasco,390 g,"1,50 €",Dia
Mermelada de naranja amarga,Fruticampo de Dia,Frasco,310 g,"1,50 €",Dia
Mermelada de fresas de temporada de Huelva,Hero,Frasco,350 g,"2,60 €",Dia
Mermelada de ciruela y kiwi extra,Fruticampo de Dia,Frasco,60% fruta   320 g,"1,95 €",Dia
Dulce de membrillo,Fruticampo de Dia,Tarrina,350 g,"1,00 €",Dia
Mermelada de higo extra,Fruticampo de Dia,Frasco,60% fruta   320 g,"1,95 €",Dia
Mermelada de ciruela extra,Fruticampo de Dia,Frasco,390 g,"1,50 €",Dia
Mermelada de fresa extra,Helios,Frasco,340 g,"2,00 €",Dia
Mermelada de melocotón extra,Helios,Frasco,340 g,"2,00 €",Dia
Melocotón en almíbar sin azúcares añadidos en mitades,Sueños Dia,Lata,480 g,"2,25 €",Dia
Mermelada de melocotón extra sin azúcares añadidos,Helios,Frasco,280 g,"2,05 €",Dia
Mermelada de fresa de Huelva  Purafruta,Helios,Frasco,250 g,"2,99 €",Dia
Frutas variadas en almíbar,Sueños Dia,Lata,480 g,"2,80 €",Dia
Mermelada de albaricoque diet,La vieja fábrica,Frasco,280 g,"2,79 €",Dia
Macedonia de frutas en almíbar,Diamir,Lata,480 g,"2,89 €",Dia
Mermelada de albaricoque 0% azúcares añadidos,Hero,Frasco,280 g,"2,69 €",Dia
Mermelada de albaricoque de temporada,Hero,Frasco,350 g,"3,05 €",Dia
Carne de membrillo,Fruticampo de Dia,Tarrina,250 g,"1,99 €",Dia
Confitura de melocotón,Bonne maman,Frasco,370 g,"3,15 €",Dia
Confitura de fresa,Bonne maman,Frasco,370 g,"3,15 €",Dia
Piña en su jugo en rodajas,Del monte,Lata,3 x 140 g,"4,59 €",Dia
Piña en su jugo en rodajas,Del monte,Lata,510 g,"4,19 €",Dia
Mermelada de ciruela extra sin azúcares añadidos,Helios,Frasco,280 g,"2,05 €",Dia
Mermelada fusión 7 frutas,La vieja fábrica,Frasco,280 g,"2,89 €",Dia
Mermelada de ciruela 7 frutas,Hero,Frasco,280 g,"2,69 €",Dia
Mermelada de melocotón 0% azúcares añadidos,Hero,Frasco,280 g,"2,69 €",Dia
Mermelada de fresas 0% azúcares añadidos,Hero,Frasco,280 g,"2,69 €",Dia
Surtido de confituras 8 unidades,Hero,Caja,200 g,"2,59 €",Dia
Mermelada de melocotón diet,La vieja fábrica,Frasco,280 g,"2,79 €",Dia
Mermelada de frambuesa diet,La vieja fábrica,Frasco,280 g,"2,99 €",Dia
Mermelada de fresa extra sin azúcares añadidos,Helios,Frasco,280 g,"2,05 €",Dia
Mermelada de tomate extra,Fruticampo de Dia,Frasco,320 g,"1,42 €",Dia
Mermelada de frutas silvestres extra,Fruticampo de Dia,Frasco,320 g,"2,10 €",Dia
Mermelada de frambuesa extra,Fruticampo de Dia,Frasco,320 g,"2,40 €",Dia
Mermelada de ciruela extra,Fruticampo de Dia,Frasco,650 g,"2,30 €",Dia
Mermelada de albaricoque extra,Fruticampo de Dia,Frasco,650 g,"2,30 €",Dia
Mermelada de arándanos La vieja fabrica,La vieja fábrica,Frasco,280 g,"2,79 €",Dia
Mermelada de albaricoque extra,Helios,Frasco,340 g,"2,00 €",Dia
Mermelada de naranja amarga diet La vieja fabrica,La vieja fábrica,Frasco,290 g,"2,79 €",Dia
Mermelada de fresas diet,La vieja fábrica,Frasco,280 g,"2,99 €",Dia
Mermelada de melocotón de temporada,Hero,Frasco,350 g,"2,60 €",Dia
