producto,marca,formato,cantidad,precio,supermercado
Papel de aluminio,Super Paco de Dia,Caja,30 m,"2,89 €",Dia
Papel de horno,Super Paco de Dia,Caja,20 unidades,"1,13 €",Dia
Film transparente,Super Paco de Dia,Caja,80 m,"1,60 €",Dia
Bolsas de congelación,Super Paco de Dia,Caja,30 unidades,"0,64 €",Dia
Bolsas de congelación zip 1 lt,Super Paco de Dia,Caja,20 unidades,"1,20 €",Dia
Papel de aluminio,Super Paco de Dia,Caja,50 m,"4,79 €",Dia
Bolsas de congelación zipper 3 lt,Super Paco de Dia,Caja,10 unidades,"0,90 €",Dia
Bolsas de congelación zipper 1 lt,Super Paco de Dia,Caja,15 unidades,"0,90 €",Dia
Film transparente 30 m,Albal,Caja,30 m,"2,59 €",Dia
Bolsas de papel para bocadillo,Super Paco de Dia,Caja,25 unidades,"1,99 €",Dia
