producto,marca,formato,cantidad,precio,supermercado
Discos de algodón redondos desmaquilladores,Imaqe de Dia,Bolsa,120 unidades,"0,95 €",Dia
Bastoncillos de papel,Planeta Bebé de Dia,Caja,50 unidades,"0,85 €",Dia
Alcohol 96º,Botikit de Dia,Botella,250 ml,"0,75 €",Dia
Agua oxigenada,Botikit de Dia,Botella,250 ml,"0,65 €",Dia
Desodorante para pies,Imaqe de Dia,Spray,150 ml,"1,95 €",Dia
Bastoncillos de algodón,Johnson,Caja,100 unidades,"2,49 €",Dia
Tiritas surtidas,Botikit de Dia,Caja,30 unidades,"0,90 €",Dia
Discos de algodón ovalados desmaquilladores,Imaqe de Dia,Bolsa,70 unidades,"1,15 €",Dia
Vaselina pura,Imaqe de Dia,Frasco,100 g,"1,99 €",Dia
Tiritas impermeables al agua formato dos tamaños  Med de Dia,Bonté,Caja,10 unidades,"1,10 €",Dia
Desodorante para pies en polvo,Imaqe de Dia,Bote,100 g,"2,55 €",Dia
Esponjas jabonosas,Noname,Bolsa,10 unidades,"1,20 €",Dia
Polvos de talco,Eudermin,Bote,200 g,"1,99 €",Dia
Tiritas infantiles Patrulla Canina,Salvelox,Caja,20 unidades,"2,90 €",Dia
Tiritas resistentes al agua,Hansaplast,Caja,40 unidades,"2,49 €",Dia
Gasas no tejidas,Botikit de Dia,Bolsa,100 unidades,"1,95 €",Dia
Tira adhesiva en tejido elástico para cortar,Bonté,Caja,10 unidades,"1,49 €",Dia
Protector labial soft rose,Liposan,Tubo,1 unidad,"2,75 €",Dia
Preservativos sensitive,Imaqe de Dia,Caja,12 unidades,"3,12 €",Dia
Alcohol de romero,Imaqe de Dia,Botella,250 ml,"1,99 €",Dia
Povidona iodada 10%  Equity de Dia,Bonté,Bote,125 ml,"1,75 €",Dia
Protector labial original,Liposan,Blister,1 unidad,"2,75 €",Dia
Discos desmaquilladores,Demak up,Bolsa,70 unidades,"2,19 €",Dia
Solución única para lentes,Senti2,Bote,360 ml,"3,99 €",Dia
Stick de árnica,Botikit de Dia,Caja,1 unidad,"4,00 €",Dia
Esparadrapo hipoalergénico en tejido sin tejer,Botikit de Dia,Caja,5 m,"1,20 €",Dia
Preservativos natural,Imaqe de Dia,Caja,24 unidades,"4,72 €",Dia
Esponja vegetal facial,Imaqe de Dia,Bolsa,2 unidades,"1,00 €",Dia
Preservativos king size,Skin,Caja,10 unidades,"8,50 €",Dia
Preservativos elite,Skin,Caja,10 unidades,"8,50 €",Dia
Preservativos original,Skin,Caja,10 unidades,"7,55 €",Dia
Gel de manos antiséptico,Imaqe de Dia,Bote,500 ml,"3,00 €",Dia
Gel de manos antiséptico,Botikit de Dia,Bote,100 ml,"1,60 €",Dia
Discos desmaquillantes original,Demak up,Bolsa,60 unidades,"1,29 €",Dia
Toallitas higienizantes,Diat,Bolsa,15 unidades,"0,85 €",Dia
Gel lubricante íntimo thai passion,Control,Bote,200 ml,"7,19 €",Dia
Gel lubricante íntimo exotic escape,Control,Bote,200 ml,"8,29 €",Dia
Preservativos sensitivo xl,Durex,Caja,10 unidades,"8,69 €",Dia
Preservativos sensitivo suave,Durex,Caja,12 unidades,"7,99 €",Dia
Preservativos natural comfort,Durex,Caja,12 unidades,"6,99 €",Dia
Preservativos invisible sensitivo,Durex,Caja,12 unidades,"13,95 €",Dia
Preservativos contacto total,Durex,Caja,12 unidades,"10,95 €",Dia
Preservativos mutual climax,Durex,Caja,12 unidades,"13,95 €",Dia
Preservativo natural,Control,Caja,12 unidades,"6,80 €",Dia
Preservativos finissimo original,Control,Caja,12 unidades,"7,84 €",Dia
Gel higienizante de manos,Laboratorios,Bote,175 ml,"2,99 €",Dia
Esponja de baño infantil Paw Patrol,Suavipiel,Bolsa,1 unidad,"1,60 €",Dia
Lubricante natural intimate,Durex,Tubo,100 ml,"13,95 €",Dia
Lubricante íntimo fresa pleasure gel,Durex,Bote,50 ml,"9,95 €",Dia
Loción repelente de mosquitos,Bloom,Caja,100 ml,"6,99 €",Dia
Repelente de insectos,Autan,Spray,100 ml,"8,49 €",Dia
Gel de masaje y lubricante íntimo aloe,Durex,Bote,200 ml,"13,49 €",Dia
Repelente de mosquitos,Autan,Spray,100 ml,"8,49 €",Dia
