producto,marca,formato,cantidad,precio,supermercado
Recambio de toallitas húmedas,Planeta Bebé de Dia,Bolsa,80 unidades,"1,15 €",Dia
Toallitas húmedas,Planeta Bebé de Dia,Bolsa,3 x 80 unidades,"3,30 €",Dia
Toallitas para bebés con piel atópica,Planeta Bebé de Dia,Bolsa,64 unidades,"1,85 €",Dia
Toallitas para bebés cremosas,Planeta Bebé de Dia,Bolsa,48 unidades,"1,20 €",Dia
Pañales 13-20 kgs talla 5 ,Planeta Bebé de Dia,Bolsa,80 unidades,"15,20 €",Dia
Pañales 17-28 kgs talla 6 ,Planeta Bebé de Dia,Bolsa,28 unidades,"8,02 €",Dia
Pañales 8-15 kgs talla 4 ,Planeta Bebé de Dia,Bolsa,88 unidades,"14,65 €",Dia
Toallitas para bebés,Dodot,Bolsa,64 unidades,"1,75 €",Dia
Pañales 13-20 kgs talla 5 ,Planeta Bebé de Dia,Bolsa,40 unidades,"7,70 €",Dia
Pañales 8-15 kgs talla 4 ,Planeta Bebé de Dia,Bolsa,44 unidades,"7,15 €",Dia
Pañales 11-16 kg talla 5,Dodot,Bolsa,54 unidades,"19,49 €",Dia
Pañales 2-5 kgs talla 1,Planeta Bebé de Dia,Bolsa,50 unidades,"4,05 €",Dia
Pañales 4-9 kgs talla 3,Planeta Bebé de Dia,Bolsa,24 unidades,"7,90 €",Dia
Toallitas aqua,Planeta Bebé de Dia,Bolsa,60 unidades,"1,80 €",Dia
Pañales 4-9 kgs talla 3,Planeta Bebé de Dia,Bolsa,102 unidades,"15,00 €",Dia
Pañales 13-20 kg talla L   ,Planeta Bebé de Dia,Bolsa,20 unidades,"6,25 €",Dia
Toallitas para bebés aqua pure,Dodot,Bolsa,3 x 48 unidades,"10,29 €",Dia
Pañales 15-25 kg talla XL,Planeta Bebé de Dia,Bolsa,18 unidades,"6,99 €",Dia
Calzoncillos absorbentes para niños de 4 a 7 años,Huggies DryNites  ,Bolsa,10 unidades,"8,99 €",Dia
Pañales 13-19 kg talla 6,Dodot,Bolsa,36 unidades,"14,59 €",Dia
Pañales 4-8 kg talla 2 recién nacido,Dodot,Bolsa,58 unidades,"19,99 €",Dia
Toallitas de higiene íntima,Imaqe de Dia,Bolsa,20 unidades,"1,10 €",Dia
Toallitas de higiene corporal para adultos,Botikit de Dia,Bolsa,60 unidades,"3,99 €",Dia
Cambiador infantil,Planeta Bebé de Dia,Bolsa,10 unidades,"4,20 €",Dia
Pañales 9-14 kg talla 4   ,Dodot,Bolsa,58 unidades,"19,49 €",Dia
Pañales recién 2-5 kgs talla 1 recién nacido,Dodot,Bolsa,44 unidades,"14,99 €",Dia
Pañales 3-6 kgs talla 2   ,Planeta Bebé de Dia,Bolsa,40 unidades,"5,99 €",Dia
Pañales + 15 kg talla 6   ,Dodot,Bolsa,27 unidades,"12,99 €",Dia
Pañales 12-17 kg talla 5   ,Dodot,Bolsa,30 unidades,"12,99 €",Dia
Pañal de noche 35-50 kg talla L   ,Planeta Junior de Dia,Bolsa,12 unidades,"8,50 €",Dia
Bañador desechable 13-20 kg talla M   ,Planeta Bebé de Dia,Bolsa,6 unidades,"2,95 €",Dia
Bañador desechable 8-15 kg talla S   ,Planeta Bebé de Dia,Bolsa,6 unidades,"2,95 €",Dia
Pañales 8-15 kg talla M   ,Planeta Bebé de Dia,Bolsa,22 unidades,"6,19 €",Dia
Toallitas para bebés aqua pure,Dodot,Bolsa,48 unidades,"3,49 €",Dia
Calzoncillos absorbentes de noche para niños de 8 a 15 años DryNites ,Huggies DryNites  ,Bolsa,9 unidades,"8,99 €",Dia
