producto,marca,formato,cantidad,precio,supermercado
Puré de frutas variadas,Planeta Bebé,Pack,2 x 200 g,"2,12 €",Dia
Puré de frutas con galleta,Planeta Bebé,Pack,2 x 200 g,"2,12 €",Dia
Arroz con pollo,Hero,Frasco,235 g,"1,69 €",Dia
Verduritas con pollo y ternera,Hero,Frasco,235 g,"1,69 €",Dia
Preparado de 7 frutas sin gluten,Nestlé,Pack,4 x 100 g,"2,99 €",Dia
Verduritas con merluza,Hero,Frasco,235 g,"1,69 €",Dia
Puré verduritas con pollo,Hero,Frasco,380 g,"2,99 €",Dia
Menestra con jamón y ternera,Hero,Frasco,235 g,"1,69 €",Dia
Puré de frutas variadas,Hero,Frasco,190 g,"1,29 €",Dia
Crema de bechamel con lenguado,Hero,Frasco,235 g,"1,69 €",Dia
Verduritas con delicias de pavo,Hero,Frasco,235 g,"1,69 €",Dia
Puré de hortalizas y ternera,Nestlé,Frasco,190 g,"1,89 €",Dia
Puré guisantes con jamón,Hero,Frasco,380 g,"2,99 €",Dia
Puré de pera y manzana 100% ecológica,Hero,Frasco,120 g,"1,50 €",Dia
Puré de verduritas con pollo y arroz,Planeta Bebé,Frasco,245 g,"1,90 €",Dia
Puré de verduritas con pavo,Nestlé,Frasco,190 g,"1,89 €",Dia
Preparado de manzana y plátano,Nestlé,Pack,4 x 100 g,"2,99 €",Dia
Puré de pera plátano y zanahoria 100% ecológica,Hero,Frasco,120 g,"1,50 €",Dia
Verduras con merluza,Smileat,Frasco,230 g,"2,69 €",Dia
Verduras y pavo,Smileat,Frasco,230 g,"2,69 €",Dia
Puré de arroz blanco con pollo,Nestlé,Frasco,190 g,"1,89 €",Dia
Puré de arroz con tomate y pavo,Nestlé,Frasco,190 g,"1,89 €",Dia
Puré de verduras con pescado,Nestlé,Frasco,190 g,"1,89 €",Dia
Puré de pera manzana y plátano,Gerber,Bolsa,360 g,"5,49 €",Dia
Puré de zanahoria cebolla y tomate con pavo,Gerber,Frasco,190 g,"2,69 €",Dia
Puré de hortalizas con ternera,Gerber,Frasco,190 g,"2,69 €",Dia
Puré de guisantes con patata y pollo,Gerber,Frasco,190 g,"2,69 €",Dia
Puré de pera y plátano,Gerber,Frasco,125 g,"1,89 €",Dia
Puré de manzana albaricoque y melocotón,Gerber,Frasco,125 g,"1,89 €",Dia
Puré de manzana plátano y yogur 100% ecológica Baby,Hero,Frasco,120 g,"1,50 €",Dia
Crema de calabaza y puré de patatas 100% ecológica,Hero,Frasco,190 g,"2,45 €",Dia
Puré de verduras de la huerta con pollo y arroz 100% ecológica,Hero,Frasco,190 g,"2,45 €",Dia
