producto,marca,formato,cantidad,precio,supermercado
Tinte negro nº 1.0,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte chocolate nº 4.15,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte rubio medio nº 7.0,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte chocolate nº 5.93,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte rubio extra claro nº 110,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte castaño caramelo nº 5.6,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte castaño oscuro nº 3.0,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte castaño claro nº 5,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte negro nº 1,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte ultra negro nº 1,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte rojo intenso nº 6.60,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte castaño oscuro nº 3.65,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte intensive age color 10.1 rubio muy claro ceniza,Palette,Caja,1 unidad,"5,49 €",Dia
Tinte rubio oscuro nº 6.0,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte negro azulado nº 1.1,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte castaño medio chocolate nº 1,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte rubio muy claro nº 10,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte rubio oscuro rojizo nº 6.6,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
"Tinte violín nº 4,99",Palette,Caja,1 unidad,"4,69 €",Dia
Aclarante intensivo con aceite activador,Nordic blonde,Caja,1 unidad,"6,29 €",Dia
Tinte retoca raíces tono negro L'Oréal,Magic retouch,Spray,75 ml,"6,99 €",Dia
Acondicionador capilar hidratación intensa,Tresemmé,Botella,685 ml,"5,99 €",Dia
Tinte retoca raíces tono marrón L'Oréal,Magic retouch,Bote,75 ml,"6,99 €",Dia
Tinte rubio claro dorado nº 8.34,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte silver nº 0.12,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte rubio claro nº 8.0,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte castaño claro nº 5.0,Imaqe de Dia,Caja,1 unidad,"3,85 €",Dia
Tinte intensive age color 9.4 rubio claro beige,Palette,Caja,1 unidad,"5,49 €",Dia
Tinte intensive age color 7.1 rubio ceniza,Palette,Caja,1 unidad,"5,49 €",Dia
Tinte intensive age color 8.5 rubio dorado,Palette,Caja,1 unidad,"5,49 €",Dia
Tinte intensive age color 9.0 rubio claro,Palette,Caja,1 unidad,"5,49 €",Dia
Tinte rojo intenso nº 5-92,Syoss,Caja,1 unidad,"5,99 €",Dia
Tinte rubio claro ceniza nº 10-50,Syoss,Caja,1 unidad,"5,99 €",Dia
Tinte rubio miel nº 8-60,Syoss,Caja,1 unidad,"5,99 €",Dia
Tinte blanco perla,Excellence,Caja,1 unidad,"6,95 €",Dia
Tinte rubio dorado nº 7.3,Nutrisse,Caja,1 unidad,"5,99 €",Dia
Tinte rubio muy claro nº 9,Nutrisse,Caja,1 unidad,"5,99 €",Dia
Tinte castaño oscuro nº 3,Nutrisse,Caja,1 unidad,"5,99 €",Dia
Tinte rubio claro nº 8,Nutrisse,Caja,1 unidad,"5,99 €",Dia
Tinte rubio oscuro nº 6.10,Nutrisse,Caja,1 unidad,"5,99 €",Dia
Tinte rubio nº 7,Nutrisse,Caja,1 unidad,"5,99 €",Dia
Tinte castaño nº 4,Nutrisse,Caja,1 unidad,"5,99 €",Dia
Tinte chocolate nº 5.35,Nutrisse,Caja,1 unidad,"5,99 €",Dia
Tinte rubio claro ceniza nº 8.1,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte negro intenso nº 1.10,Syoss,Caja,T1 unidad,"5,99 €",Dia
Tinte rubio nº 7,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte rubio medio nº 7,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte rubio natural nº 7-10,Syoss,Caja,1 unidad,"5,99 €",Dia
Tinte rubio dorado caramelo nº 7.5,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte rubio dorado nº 7.3,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte rubio caramelo nº 6.35,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte para hombre moreno,Jfm,Caja,1 unidad,"8,99 €",Dia
Tinte rubio luminoso nº 8,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte rubio oscuro nº 6,Color sensation,Caja,1 unidad,"3,99 €",Dia
Tinte rubio oscuro nº 6,Palette,Caja,1 unidad,"4,69 €",Dia
Tinte rubio claro nº 8,Palette,Caja,1 unidad,"4,69 €",Dia
