producto,marca,formato,cantidad,precio,supermercado
salvauñas suciedad resistente Super Paco de  estuche,Dia,Estropajo,3 unidades,"0,75 €",Dia
Fregona de hilo de microfibras especial suelos delicados Super Paco de,Dia,Bolsa,1 unidad,"1,50 €",Dia
Bayeta de microfibra multiusos pequeña Super Paco de,Dia,Bolsa,3 unidades,"1,65 €",Dia
Fregona amarilla suave Super Paco de,Dia,Bolsa,1 unidad,"0,88 €",Dia
antichoque gris y celeste,Sp berner,Escoba,1 unidad,"2,25 €",Dia
suciedad resistente Super Paco de,Dia,Estropajo,3 unidades,"0,90 €",Dia
Bayetas suaves Super Paco de,Dia,Bolsa,6 unidades,"0,78 €",Dia
Estropajo acero inoxidable Super Paco de,Dia,Bolsa,3 unidades,"0,75 €",Dia
antideslizante gris y celeste,Sp berner,Palo,1 unidad,"1,69 €",Dia
Bayeta de microfibra cristales Super Paco de,Dia,Bolsa,1 unidad,"0,85 €",Dia
salvauñas classic,Scotch brite,Estropajo,3 unidades,"2,25 €",Dia
Fregona estampada Super Paco de,Dia,Bolsa,1 unidad,"1,40 €",Dia
Borrador mágico Super Paco de,Dia,Bolsa,3 unidades,"1,45 €",Dia
Bayeta posavajillas Super Paco de,Dia,Bolsa,1 unidad,"1,15 €",Dia
limpieza delicada Super Paco de,Dia,Estropajo,3 unidades,"1,20 €",Dia
Fregona de algodón Super Paco de,Dia,Bolsa,1 unidad,"1,10 €",Dia
antivuelco gris y celeste,Sp berner,Recogedor,1 unidad,"2,45 €",Dia
Esponja salvauñas fibra blanca para baño,Dia,Bolsa,2 unidades,"1,00 €",Dia
Guantes flocados de látex talla L Super Paco de,Dia,Bolsa,2 unidades,"0,90 €",Dia
ovalado gris y celeste,Sp berner,Cubo,1 unidad,"5,25 €",Dia
Recambio,Vileda,Cepillo,1 unidad,"7,59 €",Dia
escurre fácil,Vileda,Cubo,1 unidad,"15,49 €",Dia
universal rojo,Vileda,Palo,1 unidad,"4,59 €",Dia
Fregona en tiras ultraseca,Scotch brite,Bolsa,1 unidad,"2,69 €",Dia
Guantes desechables de látex multiusos talla S/M,Vileda,Caja,10 unidades,"4,59 €",Dia
Bayeta amarilla super absorbente y extra suave,Ballerina,Bolsa,4 unidades,"2,49 €",Dia
Guantes reutilizables triple capa talla M,Spontex,Bolsa,2 unidades,"3,19 €",Dia
salvauñas delicate  pack,Scotch brite,Estropajo,2 unidades,"2,09 €",Dia
Fregona de microfibra,Rozenbal,Bolsa,1 unidad,"3,55 €",Dia
Bayeta ecológica,Rozenbal,Bolsa,1 unidad,"1,89 €",Dia
Bayeta microfibra secavajillas,Rozenbal,Bolsa,2 unidades,"2,75 €",Dia
Guantes de látex desechables talla M,Bayeco,Caja,30 unidades,"2,79 €",Dia
Guantes de látex desechables talla S,Bayeco,Caja,30 unidades,"2,79 €",Dia
Guantes nitrilo desechables talla M,Bayeco,Caja,20 unidades,"2,29 €",Dia
Guantes nitrilo desechables talla S,Bayeco,Caja,20 unidades,"2,29 €",Dia
salvauñas limpieza delicada Super Paco de  estuche,Dia,Estropajo,3 unidades,"0,75 €",Dia
Estropajo de fibra verde Super Paco de,Dia,Bolsa,4 unidades,"1,10 €",Dia
Bayeta de microfibra multiusos doble cara Super Paco de,Dia,Bolsa,1 unidad,"1,15 €",Dia
Bayeta microfibra atrapa polvo Super Paco de,Dia,Bolsa,1 unidad,"0,90 €",Dia
Fregona microfibras super,Vileda,Bolsa,1 unidad,"5,59 €",Dia
Guantes desechables protección antivirus talla S,Spontex,Bolsa,36 unidades,"5,19 €",Dia
Guantes desechables protección antivirus talla M,Spontex,Bolsa,36 unidades,"4,99 €",Dia
vitrocerámica  caja,Scotch brite,Estropajo,1 unidad,"2,39 €",Dia
Recambio plumero,Swiffer,Caja,6 unidades,"5,39 €",Dia
Plumero,Swiffer,Plumero,1 unidad,"5,99 €",Dia
Guantes flocados de látex talla M Super Paco de,Dia,Bolsa,2 unidades,"0,90 €",Dia
Guantes satinados de látex talla S Super Paco de,Dia,Bolsa,2 unidades,"0,70 €",Dia
Guantes satinados de látex talla M Super Paco de,Dia,Bolsa,2 unidades,"0,70 €",Dia
Estropajo no raya fresh,Scotch brite,Bolsa,3 unidades,"2,99 €",Dia
Bayeta microfibra ultra fresh,Vileda,Bolsa,3 unidades,"4,39 €",Dia
Fregona microfibra premium 2 en 1  ,Vileda,Bolsa,1 unidad,"4,89 €",Dia
Estropajo con fibra,Vileda,Bolsa,3 unidades,"2,79 €",Dia
Guantes desechables talla M,Spontex,Bolsa,20 unidades,"2,35 €",Dia
Guantes desechables talla S,Spontex,Bolsa,20 unidades,"2,35 €",Dia
Estropajo universal azul,Scotch brite,Bolsa,3 unidades,"2,79 €",Dia
Guantes de látex natural talla M,Spontex,Caja,50 unidades,"6,49 €",Dia
