producto,marca,formato,cantidad,precio,supermercado
Puré de fresa y plátano,Planeta Bebé,Bolsa,100 g,"0,95 €",Dia
Puré de fruta variada,Planeta Bebé,Bolsa,100 g,"0,95 €",Dia
Yogur con fresa y plátano,Planeta Bebé,Bolsa,100 g,"0,95 €",Dia
Puré multifrutas con galleta,Hero,Bolsa,100 g,"0,99 €",Dia
Puré de plátano  fresa y manzana,Hero,Bolsa,4 x 100 g,"4,75 €",Dia
Snack smilitos,Smileat,Bolsa,38 g,"1,95 €",Dia
Postre lácteo de plátano  Yogolino,Nestlé,Pack,4 x 100 g,"2,99 €",Dia
Natillas con galleta  Yogolino,Nestlé,Pack,4 x 100 g,"3,35 €",Dia
Postre lacteo fresa  Yogolino,Nestlé,Pack,4 x 100 g,"2,99 €",Dia
Puré de naranja  plátano  pera y galleta,Hero,Bolsa,4 x 100 g,"4,75 €",Dia
Snacks de zanahoria y maíz,Hero,Bolsa,40 g,"2,49 €",Dia
Yogur con plátano y fresa,Hero,Bolsa,100 g,"1,19 €",Dia
Puré de plátano y fresa cool fruits,Nestlé,Bolsa,110 g,"1,29 €",Dia
Puré de 4 frutas happy fruits,Nestlé,Bolsa,110 g,"1,29 €",Dia
Postre lácteo natural  Yogolino,Nestlé,Pack,4 x 100 g,"2,99 €",Dia
Puré de plátano  fresa y manzana,Hero,Bolsa,100 g,"1,19 €",Dia
Stick de fruta,Disney,Bolsa,20 g,"0,79 €",Dia
Puré de fruta mediterráneo,Hero,Bolsa,100 g,"1,19 €",Dia
Puré de pera  plátano y naranja,Hero,Bolsa,100 g,"1,59 €",Dia
Puré multifrutas crazy fruits,Nestlé,Bolsa,110 g,"1,34 €",Dia
Puré de plátano y fresa con leche  YummYogs Dancing,Nestlé,Bolsa,110 g,"1,39 €",Dia
Puré de plátano naranja y galleta,Nestlé,Bolsa,4 x 90 g,"4,89 €",Dia
Leche fermentada natural  Yogolino,Nestlé,Bolsa,100 g,"1,39 €",Dia
Fresa plátano,Smileat,Bolsa,100 g,"1,75 €",Dia
Puré de frutas de manzana  plátano y fresa  Naturnes,Nestlé,Bolsa,90 g,"1,26 €",Dia
Puré multifrutas,Nestlé,Bolsa,90 g,"1,26 €",Dia
Leche fermentada con puré de manzana y fresa  Yogolino,Nestlé,Bolsa,100 g,"1,39 €",Dia
Leche fermentada con puré de plátano  Yogolino,Nestlé,Bolsa,100 g,"1,39 €",Dia
Puré manzana y plátano,Nestlé,Bolsa,90 g,"1,26 €",Dia
Puré de 4 frutas Naturnes,Nestlé,Bolsa,90 g,"1,26 €",Dia
Puré de frutas y galleta,Hero,Bolsa,100 g,"1,19 €",Dia
