producto,marca,formato,cantidad,precio,supermercado
Acondicionador Suavidad y Brillo  todo tipo de cabello,Deliplus,Botella,1 L,"1,75 €",Mercadona
Acondicionador Repair & Nutrition  cabello seco y dañado,Deliplus,Bote,300 ml,"1,40 €",Mercadona
Acondicionador instantáneo Kids,Deliplus,Bote,250 ml,"1,70 €",Mercadona
Acondicionador instantáneo Repair & Nutrition  cabello seco y dañado,Deliplus,Botella,400 ml,"2,50 €",Mercadona
Acondicionador Repara & Protege,Pantene,Bote,250 ml,"3,00 €",Mercadona
Acondicionador Protector Color Vive  cabello teñido o con mechas,Elvive,Bote,250 ml,"3,00 €",Mercadona
Acondicionador instantáneo Hydra hyaluronic  cabello de normal a seco,Deliplus,Bote,250 ml,"2,00 €",Mercadona
Acondicionador Liso Keratina  cabello encrespado o dañado,TRESemmé,Bote,350 ml,"2,95 €",Mercadona
Mascarilla Repair & Nutrition  cabello seco y dañado,Deliplus,Tarro,400 ml,"2,15 €",Mercadona
Mascarilla Argan Oil  cabello seco y dañado,Deliplus,Tarro,400 ml,"2,60 €",Mercadona
Mascarilla Liss Frizz Control  cabello rebelde,Deliplus,Tarro,400 ml,"2,15 €",Mercadona
Mascarilla Curl Perfect  cabello rizado,Deliplus,Tarro,400 ml,"2,60 €",Mercadona
Mascarilla Repara & Protege  cabello dañado y seco,Pantene,Tarro,200 ml,"2,45 €",Mercadona
Mascarilla Color Intense  cabello teñido o con mechas,Deliplus,Tarro,400 ml,"2,30 €",Mercadona
Mascarilla sin aclarado Repair & Nutrition  cabello seco y dañado,Deliplus,Bote,150 ml,"3,70 €",Mercadona
Mascarilla Natural  todo tipo de cabello,Deliplus,Tarro,400 ml,"2,60 €",Mercadona
Mascarilla sin aclarado Argan Oil  cabello seco y dañado,Deliplus,Bote,150 ml,"3,80 €",Mercadona
Mascarilla Protectora Color Vive  cabello teñido o con mechas,Elvive,Tarro,310 ml,"4,50 €",Mercadona
Mascarilla Plex Repair  cabello muy dañado,Deliplus,Bote,200 ml,"2,90 €",Mercadona
Mascarilla sin aclarado Curl Perfect  cabello rizado,Deliplus,Bote,200 ml,"4,00 €",Mercadona
Mascarilla Hydra hyaluronic  cabello de normal a seco,Deliplus,Bote,200 ml,"2,30 €",Mercadona
Mascarilla Hidra Hialurónico  cabello deshidratado,Elvive,Tarro,310 ml,"4,50 €",Mercadona
"Mascarilla Ultra Platinum  cabello gris, rubio y decolorado",Deliplus,Bote,200 ml,"3,95 €",Mercadona
Mascarilla intensiva Liso Keratina 1 Minute Wow!  cabello encrespado o dañado,TRESemmé,Bote,170 ml,"2,75 €",Mercadona
Ampollas tratamiento intensivo Repara & Protege  cabello dañado,Pantene,Caja,3 ud. (45 ml),"3,75 €",Mercadona
Sérum Anticaída,Deliplus,Bote,100 ml,"6,95 €",Mercadona
Sérum Plex Repair  cabello muy dañado,Deliplus,Bote,100 ml,"4,00 €",Mercadona
Sérum Liss Frizz Control  iluminador,Deliplus,Bote,200 ml,"4,55 €",Mercadona
Sérum oil Curl Perfect  cabello rizado,Deliplus,Bote,100 ml,"4,00 €",Mercadona
Tratamiento Anti Frizz  todo tipo de cabello,Deliplus,Spray,200 ml,"4,60 €",Mercadona
