producto,marca,formato,cantidad,precio,supermercado
Trozo de vacuno para cocido,Hacendado,Bandeja,300 g aprox.,"3,84 €",Mercadona
Compango asturiano,Hacendado,Paquete,250 g,"2,65 €",Mercadona
Hueso garrón,Incarlopsa,Bandeja,290 g aprox.,"1,16 €",Mercadona
Osobuco de cerdo,Hacendado,Bandeja,150 g aprox.,"0,89 €",Mercadona
Espinazo de cerdo,Hacendado,Bandeja,180 g aprox.,"0,77 €",Mercadona
Cuarto de gallina,Hacendado,Bandeja,600 g aprox.,"2,87 €",Mercadona
Manos de cerdo,Hacendado,Bandeja,500 g aprox.,"3,10 €",Mercadona
Chorizo asturiano,Hacendado,Paquete,250 g,"2,78 €",Mercadona
Rabo de cerdo,Hacendado,Bandeja,250 g aprox.,"1,24 €",Mercadona
Costilla de cerdo salada,Hacendado,Bandeja,350 g aprox.,"1,85 €",Mercadona
Hueso de cerdo salado,Hacendado,Bandeja,320 g aprox.,"1,46 €",Mercadona
Magro para cocido,Hacendado,Bandeja,350 g aprox.,"1,92 €",Mercadona
Tocino de cerdo ibérico con secreto salado,Hacendado,Bandeja,320 g aprox.,"1,79 €",Mercadona
Preparado Andaluz,Hacendado,Bandeja,500 g aprox.,"2,35 €",Mercadona
Arreglo para puchero cerdo y pollo,Hacendado,Bandeja,"1,35 kg aprox.","6,95 €",Mercadona
Tocino de cerdo ibérico,Hacendado,Paquete,290 g aprox.,"1,74 €",Mercadona
