producto,marca,formato,cantidad,precio,supermercado
Atún en aceite de girasol,Hacendado,Lata,900 g (650 g escurrido),"6,45 €",Mercadona
Atún claro en aceite de girasol,Hacendado,Lata,6 latas x 60 g,"4,20 €",Mercadona
Atún claro en aceite de girasol,Hacendado,Lata,3 latas x 60 g,"2,65 €",Mercadona
Atún en aceite de oliva,Hacendado,Lata,900 g (650 g escurrido),"8,40 €",Mercadona
Atún claro en aceite de oliva,Hacendado,Lata,6 latas x 60 g,"5,45 €",Mercadona
Atún claro en aceite de oliva,Hacendado,Lata,111 g (82 g escurrido),"1,60 €",Mercadona
Atún claro bajo en sal en aceite de oliva,Hacendado,Lata,3 latas x 60 g,"3,00 €",Mercadona
Atún claro al natural,Hacendado,Lata,6 latas x 60 g,"4,35 €",Mercadona
Atún claro en escabeche blanco,Hacendado,Lata,6 latas x 60 g,"4,70 €",Mercadona
Atún claro en aceite de oliva,Hacendado,Bote,195 g (140 g escurrido),"3,85 €",Mercadona
Atún en salsa de tomate,Hacendado,Lata,3 latas x 52 g,"2,00 €",Mercadona
Ventresca de atún claro en aceite de oliva,Hacendado,Lata,111 g (78 g escurrido),"3,50 €",Mercadona
Migas de bonito del norte en aceite de oliva,Hacendado,Lata,3 latas x 52 g,"2,50 €",Mercadona
Bonito del norte en aceite de oliva,Hacendado,Lata,2 latas x 73 g,"3,30 €",Mercadona
Filetes de bonito del norte en aceite de oliva,Hacendado,Tarro,400 g (280 g escurrido),"7,40 €",Mercadona
Filetes de caballa del sur en aceite de oliva,Hacendado,Lata,2 latas x 65 g,"2,20 €",Mercadona
Filetes de caballa del sur en tomate,Hacendado,Lata,2 latas x 65 g,"1,55 €",Mercadona
Filetes de caballa del sur bajo contenido en sal  en aceite de oliva,Hacendado,Lata,2 latas x 65 g,"2,50 €",Mercadona
Filetes de melva en aceite de oliva,Hacendado,Lata,120 g (80 g escurrido),"2,10 €",Mercadona
Filetes de melva en aceite de girasol,Hacendado,Lata,2 latas x 65 g,"2,30 €",Mercadona
Filetes de melva canutera con pimientos del piquillo  en aceite de oliva,Hacendado,Lata,90 g (65 g escurrido),"1,85 €",Mercadona
Sardinas en aceite de oliva,Hacendado,Lata,2 latas x 84 g,"1,90 €",Mercadona
Sardinillas en aceite de oliva,Hacendado,Lata,2 latas x 65 g,"2,05 €",Mercadona
Sardinillas reducidas en sal en aceite de oliva,Hacendado,Lata,2 latas x 65 g,"2,05 €",Mercadona
Sardinillas en tomate,Hacendado,Lata,2 latas x 65 g,"1,50 €",Mercadona
Sardinillas en aceite de girasol,Hacendado,Lata,2 latas x 65 g,"1,50 €",Mercadona
Sardinillas picantes en aceite de girasol,Hacendado,Lata,2 latas x 65 g,"1,65 €",Mercadona
Sardinillas en escabeche,Hacendado,Lata,2 latas x 65 g,"1,75 €",Mercadona
Calamar en salsa americana,Hacendado,Lata,3 latas x 59 g,"1,85 €",Mercadona
Calamar en tinta,Hacendado,Lata,3 latas x 59 g,"2,00 €",Mercadona
Tacos de pota al ajillo,Hacendado,Lata,3 latas x 54 g,"2,95 €",Mercadona
Salmón al natural,Hacendado,Lata,3 latas x 50 g,"3,65 €",Mercadona
Calamares enteros rellenos en salsa americana,Hacendado,Lata,115 g (72 g escurrido),"2,20 €",Mercadona
