producto,marca,formato,cantidad,precio,supermercado
Pechuga de pavo bajo en sal  finas lonchas,Hacendado,Paquete,2 paquetes x 200 g,"3,37 €",Mercadona
Pechuga de pavo bajo en sal  finas lonchas,Hacendado,Paquete,225 g,"2,22 €",Mercadona
Pechuga de pavo  finas lonchas,Hacendado,Paquete,2 paquetes x 200 g,"3,37 €",Mercadona
Pechuga de pavo finas lonchas,Hacendado,Paquete,200 g,"2,00 €",Mercadona
Salchichón de pavo extra  lonchas,Hacendado,Paquete,"4 paquetes x 37,5 g","2,38 €",Mercadona
Pechuga de pavo 0% m.g  al corte,Hacendado,Paquete,200 g,"2,09 €",Mercadona
Lomo de pavo  lonchas,Hacendado,Paquete,4 paquetes x 25 g,"2,49 €",Mercadona
Longaniza de pavo extra  lonchas,Hacendado,Paquete,"4 paquetes x 31,25 g","2,38 €",Mercadona
Tiras de pechuga pollo al horno,Hacendado,Paquete,140 g,"2,05 €",Mercadona
Jamón de pavo  finas lonchas,Hacendado,Paquete,225 g,"1,66 €",Mercadona
Dados de pavo,Hacendado,Paquete,2 paquetes x 100 g,"2,16 €",Mercadona
Tiras de pechuga de pollo al natural,Hacendado,Paquete,140 g,"2,05 €",Mercadona
Sticks longaniza de pollo extra,Hacendado,Paquete,50 g,"1,10 €",Mercadona
Pechuga de pollo braseada  finas lonchas,Hacendado,Paquete,200 g,"2,15 €",Mercadona
Mortadela de pavo  finas lonchas,Hacendado,Paquete,150 g,"1,19 €",Mercadona
Pechuga de pavo al horno de leña  lonchas,Campofrío,Paquete,125 g,"1,70 €",Mercadona
Pechuga de pollo  finas lonchas,Hacendado,Paquete,200 g,"2,11 €",Mercadona
Pechuga de pavo 0% m.g,Hacendado,Pieza,500 g,"3,25 €",Mercadona
Pechuga de pollo  al corte,Hacendado,Paquete,200 g,"2,11 €",Mercadona
Pechuga de pavo natural  lonchas,Noel,Paquete,120 g,"2,20 €",Mercadona
Pechuga de pavo 92%  lonchas,Hacendado,Paquete,200 g,"2,55 €",Mercadona
Pechuga de pavo  lonchas muy finas,Noel,Paquete,200 g,"2,07 €",Mercadona
Pollo relleno asado al horno  lonchas,La Carloteña,Paquete,150 g,"2,25 €",Mercadona
Jamón de pavo,Hacendado,Pieza,500 g,"2,46 €",Mercadona
Longaniza de pavo Imperial extra,Hacendado,Pieza,235 g,"3,76 €",Mercadona
Pechuga de pavo bajo en sal,Hacendado,Pieza,500 g,"3,62 €",Mercadona
Pollo relleno con trufa y pistachos  lonchas,La Carloteña,Paquete,125 g,"2,15 €",Mercadona
Budín de cerdo  finas lonchas,Hacendado,Paquete,150 g,"1,35 €",Mercadona
Cabeza de cerdo frita con pistachos  finas lonchas,Hacendado,Paquete,150 g,"2,25 €",Mercadona
Pechuguita de pollo asada  lonchas,La Carloteña,Paquete,125 g,"2,60 €",Mercadona
Maxi pavo  finas lonchas,Hacendado,Paquete,400 g,"2,65 €",Mercadona
Mortadela de pavo con aceitunas  finas lonchas,Hacendado,Paquete,150 g,"1,25 €",Mercadona
Queso de cerdo,Hacendado,Pieza,400 g aprox.,"4,01 €",Mercadona
Jamón cocido extra  finas lonchas,Hacendado,Paquete,2 paquetes x 225 g,"3,45 €",Mercadona
Jamón cocido extra  finas lonchas,Hacendado,Paquete,200 g,"2,05 €",Mercadona
Jamón cocido extra  lonchas,Hacendado,Paquete,200 g,"2,04 €",Mercadona
Jamón cocido  lonchas,Hacendado,Paquete,200 g,"2,41 €",Mercadona
Jamón cocido extra sándwich  lonchas,Hacendado,Paquete,250 g,"2,11 €",Mercadona
Maxi york  finas lonchas,Hacendado,Paquete,500 g,"2,38 €",Mercadona
Jamón cocido extra  lonchas,Noel,Paquete,200 g,"2,29 €",Mercadona
Jamón cocido jugoso,Hacendado,Paquete,225 g,"1,82 €",Mercadona
Jamón cocido braseado  lonchas,Noel,Paquete,200 g,"2,24 €",Mercadona
Jamón cocido  lonchas,Noel,Paquete,120 g,"2,30 €",Mercadona
Fiambre magro sándwich  lonchas,Hacendado,Paquete,300 g,"1,85 €",Mercadona
Jamón cocido bajo en sal  finas lonchas,Hacendado,Paquete,225 g,"2,23 €",Mercadona
Lacón cortado a mano,Noel,Paquete,250 g,"3,49 €",Mercadona
Magro de cerdo cocido,Coren,Lata,240 g,"2,69 €",Mercadona
Maxi york,Hacendado,Pieza,2 kg,"6,24 €",Mercadona
Lacón al horno  lonchas,Noel,Paquete,200 g,"2,19 €",Mercadona
Maxi lomo  finas lonchas,Hacendado,Paquete,400 g,"2,60 €",Mercadona
