producto,marca,formato,cantidad,precio,supermercado
Filetes pechuga de pavo,Hacendado,Bandeja,600 g aprox.,"4,92 €",Mercadona
Filetes pechuga de pavo  corte fino,Procavi,Bandeja,570 g aprox.,"5,53 €",Mercadona
Chuletas de pavo contramuslo,Hacendado,Bandeja,760 g aprox.,"5,40 €",Mercadona
Tacos de pavo,Hacendado,Bandeja,600 g aprox.,"4,44 €",Mercadona
Solomillo de pavo,Hacendado,Bandeja,600 g aprox.,"4,74 €",Mercadona
Chuletas de pavo al ajillo,Hacendado,Bandeja,600 g aprox.,"4,14 €",Mercadona
Brochetas de pavo,Hacendado,Bandeja,500 g aprox.,"4,35 €",Mercadona
Pechugas de pavo pimentón,Hacendado,Bandeja,580 g aprox.,"4,81 €",Mercadona
Filetes de pavo contramuslo,Procavi,Bandeja,500 g aprox.,"3,95 €",Mercadona
Codornices abiertas,Hacendado,Bandeja,300 g aprox.,"3,87 €",Mercadona
Codornices,Hacendado,Bandeja,350 g aprox.,"4,16 €",Mercadona
Medallones solomillo de pavo,Hacendado,Bandeja,300 g aprox.,"3,34 €",Mercadona
Filetes pechuga de pollo corte fino,Hacendado,Bandeja,500 g aprox.,"4,28 €",Mercadona
Filetes pechuga de pollo,Hacendado,Bandeja,650 g aprox.,"4,81 €",Mercadona
Contramuslos de pollo deshuesados y sin piel,Hacendado,Bandeja,550 g aprox.,"3,91 €",Mercadona
Solomillos de pollo,Hacendado,Bandeja,593 g aprox.,"4,89 €",Mercadona
Pechugas enteras de pollo,Hacendado,Bandeja,"1,2 kg aprox.","6,95 €",Mercadona
Cuartos traseros familiar de pollo,Hacendado,Bandeja,"1,6 kg aprox.","4,88 €",Mercadona
Cuartos traseros de pollo,Hacendado,Bandeja,800 g aprox.,"2,72 €",Mercadona
Muslos de pollo deshuesados con piel,Hacendado,Bandeja,500 g aprox.,"2,88 €",Mercadona
Pechugas enteras de pollo,Hacendado,Bandeja,500 g aprox.,"3,48 €",Mercadona
Medio pollo troceado,Hacendado,Bandeja,900 g aprox.,"3,60 €",Mercadona
Brochetas de pollo,Hacendado,Bandeja,370 g aprox.,"3,14 €",Mercadona
Jamoncitos de pollo,Hacendado,Bandeja,920 g aprox.,"3,59 €",Mercadona
Alas partidas de pollo,Hacendado,Bandeja,600 g aprox.,"3,23 €",Mercadona
Alas partidas de pollo,Hacendado,Bandeja,"1,25 kg aprox.","6,19 €",Mercadona
Carcasa y espinazo de pollo,Hacendado,Bandeja,1 kg aprox.,"1,50 €",Mercadona
Pechugas de pollo marinadas empanadas sin gluten,Hacendado,Bandeja,360 g aprox.,"2,83 €",Mercadona
Filetes pechuga de pollo certificado alimentado con un 50% de maíz,Hacendado,Bandeja,500 g aprox.,"4,50 €",Mercadona
Flautas de pollo y queso,Hacendado,Bandeja,280 g,"2,00 €",Mercadona
Pechugas de pollo finas hierbas marinadas,Hacendado,Bandeja,650 g aprox.,"4,81 €",Mercadona
Pollo entero,Hacendado,Bandeja,"1,9 kg aprox.","6,17 €",Mercadona
Cuartos traseros de pollo certificado alimentado con un 50% de maíz,Hacendado,Bandeja,900 g aprox.,"4,41 €",Mercadona
Medallones pechuga de pollo marinado,Hacendado,Bandeja,650 g aprox.,"4,52 €",Mercadona
Contramuslos de pollo sin piel,Hacendado,Bandeja,900 g aprox.,"4,01 €",Mercadona
Alas de pollo adobadas,Hacendado,Bandeja,680 g aprox.,"3,20 €",Mercadona
Fajitas pollo y verduras,Hacendado,Bandeja,400 g,"3,85 €",Mercadona
Alas de pollo,Hacendado,Bandeja,980 g aprox.,"4,36 €",Mercadona
Contramuslos de pollo marinados con piel,Hacendado,Bandeja,600 g aprox.,"4,35 €",Mercadona
Carcasa de pollo certificado alimentado con un 50% de maíz,Hacendado,Bandeja,750 g aprox.,"2,33 €",Mercadona
Jamoncitos de pollo certificado alimentado con un 50% de maíz,Hacendado,Bandeja,850 g aprox.,"5,10 €",Mercadona
Pollo certificado entero alimentado con un 50% de maíz,Hacendado,Bandeja,"1,8 kg aprox.","8,14 €",Mercadona
Pechugas enteras de pollo certificado alimentado con un 50% de maíz,Hacendado,Bandeja,550 g aprox.,"4,79 €",Mercadona
Mollejas de pollo,Hacendado,Bandeja,300 g aprox.,"1,57 €",Mercadona
Sangre hervida de pollo,Hacendado,Paquete,500 g,"2,01 €",Mercadona
Patas de pollo,Hacendado,Bandeja,450 g aprox.,"1,82 €",Mercadona
Picantones de pollo,Hacendado,Bandeja,800 g aprox.,"7,36 €",Mercadona
Contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maíz,Hacendado,Bandeja,550 g aprox.,"4,58 €",Mercadona
Pollo churrasco,Hacendado,Bandeja,950 g aprox.,"3,70 €",Mercadona
Filetes pechuga de pollo extra tiernos,Hacendado,Bandeja,560 g aprox.,"4,46 €",Mercadona
Pinchos de pollo adobados,Hacendado,Bandeja,500 g aprox.,"3,98 €",Mercadona
Pechugas de pollo rellenas de jamón y queso empanadas sin gluten,Hacendado,Bandeja,450 g aprox.,"4,55 €",Mercadona
Lagrimitas de pollo al limón empanadas sin gluten,Hacendado,Bandeja,340 g aprox.,"2,89 €",Mercadona
Solomillos de pollo marinados empanados sin gluten,Hacendado,Bandeja,465 g aprox.,"3,95 €",Mercadona
Hígados de pollo,Hacendado,Bandeja,450 g aprox.,"1,68 €",Mercadona
Cuellos de pollo,Hacendado,Bandeja,638 g aprox.,"1,60 €",Mercadona
