producto,marca,formato,cantidad,precio,supermercado
Bacón  cintas,Hacendado,Paquete,2 paquetes x 125 g,"2,10 €",Mercadona
Bacón ahumado  lonchas,La Selva,Paquete,210 g,"2,02 €",Mercadona
Bacón  lonchas,Oscar Mayer,Paquete,150 g,"2,29 €",Mercadona
Bacón ahumado sin corteza,La Selva,Pieza,300 g aprox.,"2,73 €",Mercadona
Panceta salada ibérica  del ibérico,La Hacienda,Paquete,360 g aprox.,"2,70 €",Mercadona
Panceta oreada,Hacendado,Paquete,265 g aprox.,"3,31 €",Mercadona
Panceta curada sin corteza  lonchas,La Selva,Paquete,200 g,"2,25 €",Mercadona
Salchichas cocidas estilo Frankfurt  de pollo y cerdo sabor ahumado,Hacendado,Paquete,4 paquetes x 176 g,"1,85 €",Mercadona
Salchichas cocidas  de pollo y pavo sabor ahumado,Hacendado,Paquete,2 paquetes x 200 g,"1,30 €",Mercadona
Salchichas cocidas  de cerdo ahumadas,Schara,Paquete,2 paquetes x 170 g,"3,95 €",Mercadona
Salchichas cocidas estilo Viena con queso  de pollo y cerdo sabor ahumado,Hacendado,Paquete,2 paquetes x 200 g,"1,40 €",Mercadona
"Salchichas cocidas con leche  de pollo, cerdo y pavo",Campofrío,Paquete,170 g,"1,05 €",Mercadona
Salchichas cocidas hot dog bocadillo  Classic de pollo y cerdo sabor ahumado,Oscar Mayer,Paquete,275 g,"1,75 €",Mercadona
Salchichas cocidas estilo Frankfurt con queso  de pollo y cerdo sabor ahumado,Hacendado,Paquete,4 paquetes x 160 g,"1,85 €",Mercadona
Salchichas cocidas bocata  de pollo y pavo sabor ahumado,Hacendado,Paquete,2 paquetes x 200 g,"1,82 €",Mercadona
Salchichas cocidas bocata gourmet  de cerdo sabor ahumado,Hacendado,Paquete,2 paquetes x 175 g,"2,20 €",Mercadona
Salchichas cocidas estilo Bratwurst,Hacendado,Paquete,2 paquetes x 200 g,"2,35 €",Mercadona
Salchichas cocidas bocata queso,Hacendado,Paquete,2 paquetes x 175 g,"1,86 €",Mercadona
Salchichas cocidas bocata,Hacendado,Paquete,2 paquetes x 175 g,"1,62 €",Mercadona
Salchichas cocidas Frankfurt,La Selva,Tarro,460 g (280 g escurrido),"2,25 €",Mercadona
Salchichas cocidas de pollo,Hacendado,Paquete,2 paquetes x 250 g,"1,65 €",Mercadona
Salchichas cocidas estilo Frankfurt  sabor ahumado,Campofrío,Paquete,4 paquetes x 140 g,"2,25 €",Mercadona
