producto,marca,formato,cantidad,precio,supermercado
Berberechos al natural S,Hacendado,Lata,111 g (63 g escurrido),"2,70 €",Mercadona
Berberechos al natural M,Hacendado,Lata,111 g (63 g escurrido),"3,60 €",Mercadona
Berberechos al natural L,Hacendado,Lata,111 g (63 g escurrido),"5,45 €",Mercadona
Almejones al natural,Cono sur,Lata,111 g (63 g escurrido),"1,20 €",Mercadona
Concha fina al natural,Marinara,Lata,90 g (55 g escurrido),"1,75 €",Mercadona
Zamburiñas en salsa de vieira,Hacendado,Lata,110 g (63 g escurrido),"1,95 €",Mercadona
Almejas del Pacífico  al natural,Hacendado,Lata,111 g (63 g escurrido),"1,80 €",Mercadona
Mejillones en escabeche  pequeños,Hacendado,Lata,2 latas x 106 g,"2,30 €",Mercadona
Mejillones en escabeche  pequeños,Hacendado,Lata,111 g (69 g escurrido),"1,80 €",Mercadona
Mejillones al natural  pequeños,Hacendado,Lata,111 g (69 g escurrido),"1,20 €",Mercadona
Mejillones picantes en escabeche  pequeños,Hacendado,Lata,111 g (69 g escurrido),"1,45 €",Mercadona
Mejillones en salsa de vieira  pequeños,Hacendado,Lata,111 g (69 g escurrido),"1,90 €",Mercadona
