producto,marca,formato,cantidad,precio,supermercado
Berlina al cacao,Hacendado,Paquete,4 ud. (240 g),"1,35 €",Mercadona
Croissant de mantequilla 26%,Hacendado,Pieza,50 g,"0,40 €",Mercadona
Berlina glacé,Hacendado,Paquete,4 ud. (200 g),"1,35 €",Mercadona
Trenza con nueces 4%,Hacendado,Pieza,80 g,"0,75 €",Mercadona
Rosquillas al cacao,Hacendado,Paquete,7 ud. (182 g),"1,40 €",Mercadona
12 Mini croissants de mantequilla,Hacendado,Bolsa,12 ud. (240 g),"1,85 €",Mercadona
Pastel de crema 65%,Hacendado,Pieza,50 g,"0,40 €",Mercadona
6 Caracolas rellenas de cacao,Hacendado,Bolsa,6 ud. (280 g),"1,60 €",Mercadona
Napolitana 3 chocolates 29%,Hacendado,Pieza,85 g,"0,85 €",Mercadona
Caracola con pasas 10%,Hacendado,Pieza,103 g,"0,80 €",Mercadona
8 Magdalenas con azúcar,Hacendado,Bolsa,8 ud. (380 g),"2,90 €",Mercadona
Bizcocho con azúcar moreno y nueces,Hacendado,Bandeja,430 g,"3,70 €",Mercadona
Magdalenas con pepitas de chocolate,Hacendado,Bolsa,8 ud. (380 g),"3,00 €",Mercadona
8 Medias noches,Hacendado,Bolsa,8 ud. (220 g),"2,00 €",Mercadona
Muffin chocolate 3%,Hacendado,Pieza,120 g,"1,10 €",Mercadona
Xuxu relleno de crema 49%,Hacendado,Pieza,51 g,"0,50 €",Mercadona
Bizcocho de chocolate sin gluten y sin lactosa,Hacendado,Paquete,300 g,"3,10 €",Mercadona
Surtido croissants rellenos de crema de cacao y crema con leche sabor a chocolate blanco,Hacendado,Bandeja,8 ud. (300 g),"2,55 €",Mercadona
Bizcocho de yogur,Hacendado,Paquete,800 g,"3,35 €",Mercadona
Bizcocho marmolado,Hacendado,Paquete,750 g,"3,85 €",Mercadona
Berlina con cobertura de caramelo y cacao rellena de crema avellana 2%,Hacendado,Pieza,80 g,"1,25 €",Mercadona
Napolitana mixta,Hacendado,Pieza,130 g,"0,90 €",Mercadona
Empanada de atún,Hacendado,Pieza,500 g,"3,70 €",Mercadona
Empanada de atún grande,Hacendado,Pieza,"1,12 kg","7,40 €",Mercadona
12 Mini saladas,Hacendado,Bolsa,12 ud. (200 g),"1,25 €",Mercadona
Empanada rellena de pollo y setas con crema de queso,Hacendado,Pieza,500 g,"3,70 €",Mercadona
Empanadilla de pollo 10% y bechamel,Hacendado,Pieza,98 g,"1,30 €",Mercadona
Empanadilla de atún 16%,Hacendado,Pieza,125 g,"1,30 €",Mercadona
