producto,marca,formato,cantidad,precio,supermercado
Magdalenas,Hacendado,Paquete,550 g,"1,90 €",Mercadona
Valencianas,Hacendado,Paquete,700 g,"2,50 €",Mercadona
Croissant,Hacendado,Paquete,430 g,"1,85 €",Mercadona
Croissant relleno de crema al cacao,Hacendado,Paquete,375 g,"1,85 €",Mercadona
Bollo con pepitas de chocolate  Choco Buns,Hacendado,Paquete,6 ud. (250 g),"1,55 €",Mercadona
Ensaimadas,Hacendado,Paquete,350 g,"1,70 €",Mercadona
Pan de leche,Hacendado,Paquete,480 g,"1,80 €",Mercadona
Bocaditos bañados al cacao,Hacendado,Paquete,500 g,"2,20 €",Mercadona
Crepes rellenos de chocolate,Hacendado,Paquete,6 crepes (192 g),"1,40 €",Mercadona
Palmeritas,Hacendado,Paquete,24 ud. (270 g),"1,35 €",Mercadona
Gofres clásicos,Hacendado,Gofre,2 gofres x 110 g,"1,25 €",Mercadona
Gofres con chocolate,Hacendado,Gofre,2 gofres x 140 g,"1,45 €",Mercadona
Napolitanas con relleno de cacao,Hacendado,Paquete,8 ud. (370 g),"1,80 €",Mercadona
Rosegones pasta de almendras,Hacendado,Paquete,250 g,"1,85 €",Mercadona
Bizcochos,Hacendado,Paquete,300 g,"1,70 €",Mercadona
Bizcochos de huevo,Hacendado,Paquete,4 paquetes x 100 g,"1,75 €",Mercadona
Napolitanas con relleno sabor crema,Hacendado,Paquete,8 ud. (370 g),"1,80 €",Mercadona
Tortas de aceite Inés Rosales,Hacendado,Paquete,6 ud. (180 g),"2,20 €",Mercadona
Tortas de aceite Inés Rosales sin azúcar,Hacendado,Paquete,5 ud. (150 g),"2,75 €",Mercadona
Bizcocho de chocolate sin gluten,Hacendado,Paquete,4 ud. (200 g),"2,25 €",Mercadona
Magdalenas sin gluten,Hacendado,Paquete,210 g,"2,55 €",Mercadona
Magdalenas integrales 0% azúcares añadidos,Hacendado,Paquete,280 g,"2,00 €",Mercadona
Dorayaki relleno de crema al cacao,Hacendado,Paquete,4 ud. (180 g),"1,60 €",Mercadona
Magdalenas al cacao,Hacendado,Paquete,350 g,"2,00 €",Mercadona
Exquisitas Maritoñi,Hacendado,Paquete,6 ud. (450 g),"2,30 €",Mercadona
Mantecadas,Hacendado,Paquete,520 g,"2,30 €",Mercadona
Tortas Banitas Aguilera,Hacendado,Paquete,400 g,"1,30 €",Mercadona
Mini magdalenas con pepitas de chocolate con leche,Hacendado,Paquete,270 g,"1,80 €",Mercadona
Tortas de aceite de oliva Carmen Lupiañez,Hacendado,Caja,12 ud. (500 g),"2,60 €",Mercadona
Caña de hojaldre rellena de crema sabor vainilla  con cobertura de cacao,Hacendado,Paquete,3 ud (255 g),"1,70 €",Mercadona
Palmera con cacao,Hacendado,Paquete,95 g aprox.,"0,48 €",Mercadona
Espiral al cacao,Hacendado,Paquete,64 g aprox.,"0,32 €",Mercadona
Bizcocho con baño de cacao,Hacendado,Paquete,68 g aprox.,"0,34 €",Mercadona
Rosquillas al cacao,Hacendado,Paquete,37 g aprox.,"0,18 €",Mercadona
Hojaldre cabello de Ángel,Hacendado,Paquete,100 g aprox.,"0,50 €",Mercadona
Palmera crema de avellana,Hacendado,Paquete,105 g aprox.,"0,52 €",Mercadona
Caña de cacao,Hacendado,Paquete,100 g aprox.,"0,50 €",Mercadona
Rollo con sabor nata,Hacendado,Paquete,42 g aprox.,"0,21 €",Mercadona
Rosquito frito con azúcar,Hacendado,Paquete,40 g aprox.,"0,20 €",Mercadona
Rollo con sabor avellana,Hacendado,Paquete,42 g aprox.,"0,21 €",Mercadona
Hojaldre relleno de crema  sin azúcar añadido,Hacendado,Paquete,80 g aprox.,"0,40 €",Mercadona
