producto,marca,formato,cantidad,precio,supermercado
Jamoncitos de pollo congelados,Hacendado,Paquete,1 kg,"3,10 €",Mercadona
Alas de pollo congeladas,Hacendado,Paquete,1 kg,"3,40 €",Mercadona
Medallones preparado de solomillo cerdo congelados marinados,Hacendado,Paquete,300 g aprox.,"3,11 €",Mercadona
Solomillo de pavo marinado congelado,Hacendado,Paquete,350 g aprox.,"2,76 €",Mercadona
Cuartos traseros de pollo congelados,Hacendado,Paquete,2 kg,"5,80 €",Mercadona
Solomillo de cerdo marinado congelado,Hacendado,Paquete,800 g aprox.,"6,24 €",Mercadona
Jamoncitos de pavo duplo congelados,Hacendado,Paquete,670 g aprox.,"2,91 €",Mercadona
Pierna de lechal entera congelada,Hacendado,Pieza,650 g aprox.,"9,04 €",Mercadona
Chuletas cordero de lechal congeladas,Hacendado,Paquete,550 g aprox.,"12,65 €",Mercadona
Carrillada de cerdo congelada,Hacendado,Paquete,460 g aprox.,"5,75 €",Mercadona
Pechugas de pollo enteras congeladas,Hacendado,Paquete,1 kg aprox.,"5,65 €",Mercadona
Alas de pollo barbacoa congeladas,Hacendado,Paquete,750 g,"3,68 €",Mercadona
