producto,marca,formato,cantidad,precio,supermercado
Costillas de cerdo carnosas a tacos,Hacendado,Bandeja,530 g aprox.,"4,08 €",Mercadona
Filetes lomo de cerdo,Hacendado,Bandeja,400 g aprox.,"2,84 €",Mercadona
Filetes lomo de cerdo familiar,Hacendado,Bandeja,900 g aprox.,"6,29 €",Mercadona
Carrillada de cerdo,Hacendado,Bandeja,500 g aprox.,"6,55 €",Mercadona
Costilla de cerdo ibérico adobada,Hacendado,Bandeja,500 g aprox.,"3,43 €",Mercadona
Chuletas de cerdo sajonia,Hacendado,Bandeja,290 g aprox.,"2,77 €",Mercadona
Costilla de cerdo churrasco,Hacendado,Pieza,900 g aprox.,"5,40 €",Mercadona
Panceta,Hacendado,Bandeja,500 g aprox.,"3,35 €",Mercadona
Manos de cerdo,Hacendado,Bandeja,500 g aprox.,"3,10 €",Mercadona
Lomo de cerdo adobado,Hacendado,Bandeja,470 g aprox.,"3,38 €",Mercadona
Lomo de cerdo adobado familiar,Hacendado,Bandeja,900 g aprox.,"6,08 €",Mercadona
San Jacobos de cerdo sin gluten,Hacendado,Bandeja,400 g aprox.,"2,52 €",Mercadona
Filetes lomo de cerdo cabeza,Hacendado,Bandeja,550 g aprox.,"3,69 €",Mercadona
Flautas de bacón y queso,Hacendado,Bandeja,280 g,"2,00 €",Mercadona
Secreto de cerdo,Hacendado,Bandeja,400 g aprox.,"2,56 €",Mercadona
Media careta de cerdo sin oreja,Hacendado,Bandeja,420 g aprox.,"2,34 €",Mercadona
Manteca de cerdo  para cocinar,Mont-Palau,Tarrina,400 g,"2,30 €",Mercadona
Fiambre de magro de cerdo adobado,Hacendado,Paquete,370 g,"2,68 €",Mercadona
Filetes hígado de cerdo,Hacendado,Bandeja,450 g aprox.,"2,41 €",Mercadona
Filetes lomo al ajillo,Hacendado,Bandeja,500 g aprox.,"3,88 €",Mercadona
Lomo de cerdo grueso,Hacendado,Bandeja,300 g aprox.,"2,19 €",Mercadona
Presa de cerdo ibérico,Hacendado,Bandeja,240 g aprox.,"6,12 €",Mercadona
Pluma de cerdo ibérico,Hacendado,Bandeja,220 g aprox.,"6,37 €",Mercadona
Secreto de cerdo ibérico,Hacendado,Bandeja,250 g aprox.,"5,93 €",Mercadona
Sesos de cerdo,Hacendado,Bandeja,130 g,"2,95 €",Mercadona
Medallones preparado de solomillo cerdo provenzal,Hacendado,Bandeja,400 g aprox.,"4,14 €",Mercadona
Chuletas lomo de cerdo,Hacendado,Bandeja,480 g aprox.,"3,10 €",Mercadona
Chuletas aguja de cerdo,Hacendado,Bandeja,650 g aprox.,"3,87 €",Mercadona
Lomo de cerdo ibérico,Hacendado,Bandeja,285 g aprox.,"6,26 €",Mercadona
Solomillo de cerdo,Hacendado,Paquete,500 g aprox.,"4,10 €",Mercadona
Lagarto de cerdo,Hacendado,Bandeja,500 g aprox.,"3,75 €",Mercadona
Codillo de cerdo,Hacendado,Pieza,950 g aprox.,"3,99 €",Mercadona
Filetes lomo de cerdo extra tiernos,Hacendado,Bandeja,460 g aprox.,"3,49 €",Mercadona
Lomo de cerdo trozo,Hacendado,Pieza,800 g aprox.,"4,23 €",Mercadona
Pieza magro cabeza de cerdo,Hacendado,Pieza,"1,2 kg aprox.","6,47 €",Mercadona
Solomillo de cerdo ibérico,Hacendado,Paquete,440 g aprox.,"8,32 €",Mercadona
Cerdo a tacos familiar,Hacendado,Bandeja,900 g aprox.,"5,09 €",Mercadona
Cerdo a tacos,Hacendado,Bandeja,560 g aprox.,"3,22 €",Mercadona
Lagarto de cerdo ibérico,Hacendado,Bandeja,265 g aprox.,"5,01 €",Mercadona
Abanico de cerdo ibérico,Hacendado,Bandeja,185 g aprox.,"3,50 €",Mercadona
Lomo de cerdo marinado empanado,Hacendado,Bandeja,400 g aprox.,"3,30 €",Mercadona
Chuletón de cerdo ibérico,Hacendado,Bandeja,400 g aprox.,"6,36 €",Mercadona
