producto,marca,formato,cantidad,precio,supermercado
Champú protección y brillo  todo tipo de cabello,Deliplus,Botella,1 L,"1,60 €",Mercadona
Champú Repair & Nutrition  cabello seco y dañado,Deliplus,Bote,400 ml,"1,80 €",Mercadona
Envase rellenable  tamaño viaje,Deliplus,Botella,100 ml,"0,90 €",Mercadona
Champú Argan Oil  cabello seco y dañado,Deliplus,Bote,400 ml,"2,05 €",Mercadona
Champú Repara & Protege  cabello débil y dañado,Pantene,Bote,300 ml,"3,00 €",Mercadona
Champú Detox  cabello graso,Deliplus,Bote,400 ml,"2,05 €",Mercadona
Champú Hydra hyaluronic  cabello de normal a seco,Deliplus,Bote,400 ml,"2,05 €",Mercadona
Champú Color Intense  cabello teñido o con mechas,Deliplus,Bote,400 ml,"1,80 €",Mercadona
Champú Liss Frizz Control  cabello rebelde,Deliplus,Bote,400 ml,"1,80 €",Mercadona
Champú Natural  todo tipo de cabello,Deliplus,Bote,400 ml,"2,05 €",Mercadona
Champú Color Vive  cabello teñido o con mechas,Elvive,Bote,300 ml,"3,30 €",Mercadona
Champú Curl Perfect  cabello rizado,Deliplus,Bote,400 ml,"2,35 €",Mercadona
Champú seco O'lysee,Olysee,Bote,200 ml,"2,00 €",Mercadona
Champú Dermo Sensitive  cuero cabelludo sensible,Deliplus,Bote,400 ml,"2,35 €",Mercadona
Champú Extra Suave  todo tipo de cabello,Deliplus,Botella,750 ml,"1,95 €",Mercadona
Champú Volumen  cabello fino y sin volumen,Deliplus,Bote,400 ml,"2,35 €",Mercadona
Champú Anticaída,Deliplus,Bote,400 ml,"2,05 €",Mercadona
Champú Zero  todo tipo de cabello,Deliplus,Bote,400 ml,"2,05 €",Mercadona
Champú Plex Repair  cabello muy dañado,Deliplus,Bote,400 ml,"2,75 €",Mercadona
Champú Hidra Hialurónico  cabello deshidratado,Elvive,Bote,300 ml,"3,30 €",Mercadona
"Champú Silver Blond  cabello rubio, decolorado y gris",Deliplus,Bote,400 ml,"2,75 €",Mercadona
Champú Liso Keratina  cabello encrespado o dañado,TRESemmé,Bote,350 ml,"2,95 €",Mercadona
Champú anticaspa Citrus Fresh  cabello graso,H&S,Bote,400 ml,"5,30 €",Mercadona
Champú anticaspa Menthol Fresh,H&S,Bote,400 ml,"5,30 €",Mercadona
Champú y acondicionador anticaspa Classic 2 en 1,H&S,Bote,400 ml,"5,30 €",Mercadona
Champú anticaspa Citric  cabello graso,Ultrex,Bote,360 ml,"2,40 €",Mercadona
Champú anticaspa Menthol  todo tipo de cabello,Ultrex,Bote,360 ml,"2,40 €",Mercadona
Champú y acondicionador anticaspa Classic 2 en 1  todo tipo de cabello,Ultrex,Bote,360 ml,"2,40 €",Mercadona
Champú infantil Kids 3 en 1,Deliplus,Bote,300 ml,"1,70 €",Mercadona
Loción infantil elimina liendres y piojos,Deliplus,Bote,150 ml,"4,50 €",Mercadona
Champú Protect Triple Action  preventivo y protector,Deliplus,Bote,300 ml,"2,50 €",Mercadona
Instant conditioner Protect Triple Action  preventivo y sin aclarado,Deliplus,Bote,250 ml,"2,30 €",Mercadona
