producto,marca,formato,cantidad,precio,supermercado
Chopped cerdo  lonchas,Hacendado,Paquete,250 g,"1,39 €",Mercadona
Chopped cocido en lata  finas lonchas,Hacendado,Paquete,150 g,"1,71 €",Mercadona
Chopped,Hacendado,Pieza,500 g,"2,25 €",Mercadona
Fiambre de cerdo cocido Pic Kamper,Hacendado,Paquete,150 g,"1,24 €",Mercadona
Fiambre de cerdo cocido Pic Kamper con verduras,Hacendado,Paquete,150 g,"1,29 €",Mercadona
Mortadela  lonchas,Hacendado,Paquete,250 g,"1,25 €",Mercadona
Mortadela con aceitunas  lonchas,Hacendado,Paquete,250 g,"1,25 €",Mercadona
Mortadela italiana  finas lonchas,Hacendado,Paquete,150 g,"1,75 €",Mercadona
Mortadela,Hacendado,Pieza,900 g,"3,60 €",Mercadona
Galantina con pistacho y trufa  finas lonchas,Hacendado,Paquete,150 g,"1,85 €",Mercadona
Mortadela de pavo  finas lonchas,Hacendado,Paquete,150 g,"1,19 €",Mercadona
Mortadela de pavo con aceitunas  finas lonchas,Hacendado,Paquete,150 g,"1,25 €",Mercadona
