producto,marca,formato,cantidad,precio,supermercado
Coloración permanente 1 negro,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 2.10 negro azulado,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente Garnier 1.0 ultra negro, L`Oréal,Caja,1 ud.,"3,50 €",Mercadona
Coloración permanente L'Oréal 1 negro, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración sin amoníaco L'Oréal 210 negro azulado, L`Oréal,Caja,1 ud.,"6,00 €",Mercadona
Mascarilla cabello negro,Deliplus,Caja,1 ud.,"2,10 €",Mercadona
Coloración sin amoníaco L'Oréal 323 negro chocolate, L`Oréal,Caja,1 ud.,"6,00 €",Mercadona
Coloración permanente 1 negro  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 1.88 negro azulado intenso  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 3 castaño oscuro,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 4 castaño medio,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 4.15 chocolate helado,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 5 castaño claro,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 5.77 castaño claro marrón intenso,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 5.79 marrón chocolate,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 6.15 marrón macadamia,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 6.25 marrón avellana,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 6.35 marrón caramelo,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente Garnier 5.0 castaño luminoso, L`Oréal,Caja,1 ud.,"3,50 €",Mercadona
Coloración permanente Garnier 5.35 castaño canela, L`Oréal,Caja,1 ud.,"3,50 €",Mercadona
Coloración permanente L'Oréal 3 castaño oscuro, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 4 castaño, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 5 castaño claro, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración sin amoníaco L'Oréal 400 castaño, L`Oréal,Caja,1 ud.,"6,00 €",Mercadona
Coloración sin amoníaco L'Oréal 503 castaño dorado, L`Oréal,Caja,1 ud.,"6,00 €",Mercadona
Mascarilla cabello chocolate,Deliplus,Caja,1 ud.,"2,10 €",Mercadona
Coloración permanente 3 castaño oscuro  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 4 castaño  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 4.15 chocolate helado  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 5 castaño claro  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 5.1 castaño claro ceniza  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 5.35 chocolate  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 6.74 marrón cobrizo  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 7.73 marrón dorado  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 4.5 caoba oscuro,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 5.5 caoba rojizo,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 6.60 rojo pasión,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 7.43 cobre cálido,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 8.6 rojo intenso,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente Garnier 3.16 violín intenso, L`Oréal,Caja,1 ud.,"3,50 €",Mercadona
Coloración permanente Garnier 6.60 rojo intenso, L`Oréal,Caja,1 ud.,"3,50 €",Mercadona
Coloración permanente 5.20 violín,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Mascarilla cabello violín,Deliplus,Caja,1 ud.,"2,10 €",Mercadona
Coloración permanente 5.69 violín  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 0% amoníaco  6.6 rubio oscuro rojizo,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 8.66 rojo rubí  0% amoníaco,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Mascarilla cabello rojo,Deliplus,Caja,1 ud.,"2,10 €",Mercadona
Coloración permanente 6 rubio oscuro,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 6.1 rubio oscuro ceniza,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 6.4 rubio oscuro cobrizo,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 7 rubio medio,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 7.1 rubio medio ceniza,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 7.3 rubio medio dorado,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 7.40 rubio cobrizo intenso,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 7.77 rubio marrón intenso,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 8 rubio claro,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 8.1 rubio claro ceniza,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 8.3 rubio claro dorado,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 8.44 rubio claro cobrizo,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 9 rubio clarísimo,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 9.1 rubio clarísimo ceniza,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 9.3 rubio clarísimo dorado,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 10 rubio extra claro,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 100 rubio platino natural,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente 101 rubio platino ceniza,Deliplus,Caja,1 ud.,"3,90 €",Mercadona
Coloración permanente Garnier 6.0 rubio oscuro, L`Oréal,Caja,1 ud.,"3,50 €",Mercadona
Coloración permanente Garnier 6.35 rubio caramelo, L`Oréal,Caja,1 ud.,"3,50 €",Mercadona
Coloración permanente Garnier 110 rubio extra claro ceniza, L`Oréal,Caja,1 ud.,"3,50 €",Mercadona
Coloración permanente L'Oréal 6 rubio oscuro, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 6.1 rubio ceniza oscuro, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 7 rubio, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 7.1 rubio ceniza, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 7.3 rubio dorado, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 8 rubio claro, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 8.1 rubio claro ceniza, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 9 rubio claro claro, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 9.1 rubio claro claro ceniza, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
Coloración permanente L'Oréal 10 rubio muy claro, L`Oréal,Caja,1 ud.,"8,90 €",Mercadona
