producto,marca,formato,cantidad,precio,supermercado
Maíz dulce,Hacendado,Lata,3 latas x 140 g,"1,60 €",Mercadona
Maíz dulce,Hacendado,Lata,3 latas x 70 g,"1,25 €",Mercadona
Espárragos delgados,Hacendado,Tarro,200 g (110 g escurrido),"1,55 €",Mercadona
Espárragos medianos,Hacendado,Tarro,345 g (205 g escurrido),"2,00 €",Mercadona
Espárragos muy gruesos  enteros,Hacendado,Tarro,540 g (325 g escurrido),"3,00 €",Mercadona
Champiñones laminados,Hacendado,Bote,355 g (180 g escurrido),"1,00 €",Mercadona
Champiñón laminado,Hacendado,Lata,3 latas x 85 g,"1,80 €",Mercadona
Champiñón entero,Hacendado,Bote,355 g (180 g escurrido),"1,45 €",Mercadona
Pimientos del piquillo enteros  extra,Hacendado,Tarro,340 g (275 g escurrido),"1,45 €",Mercadona
Guisantes extra,Hacendado,Bote,390 g (250 g escurrido),"0,78 €",Mercadona
Guisantes extra,Hacendado,Lata,3 latas x 120 g,"2,10 €",Mercadona
Pimientos rojos asados  en tiras extra,Hacendado,Lata,3 latas x 60 g,"1,35 €",Mercadona
Judías verdes redondas,Hacendado,Tarro,660 g (360 g escurrido),"1,30 €",Mercadona
Pimientos asados en tiras,Hacendado,Bandeja,290 g,"2,50 €",Mercadona
Corazones de alcachofa,Hacendado,Tarro,290 g (175 g escurrido),"1,90 €",Mercadona
Corazones de alcachofa,Hacendado,Tarro,535 g (330 g escurrido),"2,80 €",Mercadona
Corazones de alcachofa,Hacendado,Bandeja,260 g,"3,00 €",Mercadona
Zanahoria en tiras,Hacendado,Tarro,425 g (250 g escurrido),"1,25 €",Mercadona
Judías verdes planas,Hacendado,Tarro,660 g (360 g escurrido),"1,30 €",Mercadona
Remolacha en tiras,Hacendado,Tarro,425 g (250 g escurrido),"1,30 €",Mercadona
Macedonia de verduras,Hacendado,Tarro,535 g (320 g escurrido),"0,90 €",Mercadona
Patata entera,Hacendado,Tarro,660 g (400 g escurrido),"1,95 €",Mercadona
Palmito al natural entero,Hacendado,Tarro,410 g (250 g escurrido),"2,75 €",Mercadona
Pimientos en tiras condimentados,Hacendado,Tarro,290 g (220 g escurrido),"1,15 €",Mercadona
Ensalada china  con mazorquitas,Hacendado,Tarro,280 g (155 g escurrido),"1,20 €",Mercadona
Brotes germinados,Hacendado,Tarro,275 g (150 g escurrido),"1,60 €",Mercadona
Habas fritas l mini baby extra,Peña Torca,Tarro,225 g (150 g escurrido),"3,50 €",Mercadona
Ensalada de pimientos del piquillo,Cidacos,Lata,2 latas x 180 g,"2,00 €",Mercadona
Espárragos delgados verdes  enteros,Hacendado,Tarro,230 g (125 g escurrido),"1,70 €",Mercadona
Cebolla caramelizada,Hacendado,Tarro,190 g,"1,70 €",Mercadona
Yemas de espárragos,Hacendado,Lata,2 latas x 100 g,"2,60 €",Mercadona
Menestra de verduras con aceite,Hacendado,Tarro,660 g,"2,60 €",Mercadona
Mazorquitas de maíz agridulce,Hacendado,Tarro,350 g (190 g escurrido),"2,60 €",Mercadona
Chucrut al estilo bávaro,Hengstenberg,Tarro,680 g (650 g escurrido),"2,20 €",Mercadona
Acelgas troceadas,Hacendado,Tarro,660 g (425 g escurrido),"1,75 €",Mercadona
Espárragos  blancos gruesos,Hacendado,Tarro,345 g (205 g escurrido),"2,80 €",Mercadona
Piña en su jugo  rodajas,Hacendado,Lata,3 latas x 140 g,"2,35 €",Mercadona
Piña en su jugo  rodajas,Hacendado,Bote,822 g (490 g escurrido),"1,85 €",Mercadona
Melocotón en almíbar,Hacendado,Bote,840 g (480 g escurrido),"2,05 €",Mercadona
Melocotón en almíbar,Hacendado,Lata,3 latas x 115 g,"2,45 €",Mercadona
Dulce de membrillo  categoría primera,Hacendado,Tarrina,450 g,"1,40 €",Mercadona
Melocotón light  sin azúcares añadidos,Hacendado,Bote,400 g (240 g escurrido),"1,40 €",Mercadona
Macedonia mix de frutas en almíbar,Hacendado,Lata,2 latas x 115 g,"2,00 €",Mercadona
Dulce de membrillo  0% azúcares añadidos,Hacendado,Tarrina,400 g,"2,20 €",Mercadona
Cabello de,Ángel Hida,Bote,520 g,"2,20 €",Mercadona
Pera en almíbar ligero,Hacendado,Bote,425 g (230 g escurrido),"2,20 €",Mercadona
Postre de manzana,Jamar,Tarro,710 g,"1,90 €",Mercadona
Dulce de membrillo taco,Hacendado,Paquete,250 g,"2,20 €",Mercadona
