producto,marca,formato,cantidad,precio,supermercado
Longaniza magro fresca,Hacendado,Bandeja,535 g aprox.,"3,26 €",Mercadona
Longaniza fresca sin tripa,Hacendado,Bandeja,560 g,"3,30 €",Mercadona
Longaniza fresca de pollo,Hacendado,Bandeja,550 g aprox.,"4,13 €",Mercadona
Longaniza fresca de pollo,Hacendado,Bandeja,800 g aprox.,"5,84 €",Mercadona
Chorizo oreado,Hacendado,Bandeja,360 g aprox.,"2,57 €",Mercadona
Chistorra,Hacendado,Paquete,220 g,"1,55 €",Mercadona
Longaniza roja fresca rosca,Hacendado,Bandeja,400 g aprox.,"3,00 €",Mercadona
Longaniza fresca estilo criollo,Hacendado,Bandeja,380 g aprox.,"2,96 €",Mercadona
Butifarra fresca,Hacendado,Bandeja,640 g aprox.,"3,68 €",Mercadona
Chorizo aperitivo,Hacendado,Bandeja,300 g aprox.,"2,59 €",Mercadona
Chorizo picante aperitivo,Hacendado,Bandeja,375 g aprox.,"3,24 €",Mercadona
Chorizo fresco Ibérico,Hacendado,Bandeja,450 g aprox.,"4,50 €",Mercadona
Morcilla de cebolla dulce,Hacendado,Bandeja,390 g aprox.,"2,65 €",Mercadona
Morcilla de cebolla picante,Hacendado,Bandeja,390 g aprox.,"2,65 €",Mercadona
