producto,marca,formato,cantidad,precio,supermercado
Fuet espetec extra,Hacendado,Pieza,1 ud.,"2,57 €",Mercadona
Salchichón extra  lonchas,Hacendado,Paquete,4 paquetes x 60 g,"2,11 €",Mercadona
Sticks longaniza extra,Hacendado,Paquete,50 g,"1,10 €",Mercadona
Salchichón extra  lonchas,Hacendado,Paquete,4 paquetes x 45 g,"2,27 €",Mercadona
Longaniza de payés extra  lonchas,Hacendado,Paquete,"4 paquetes x 31,25 g","2,07 €",Mercadona
Salami extra  lonchas,Hacendado,Paquete,4 paquetes x 60 g,"1,97 €",Mercadona
Salchichón extra pimienta  finas lonchas,Hacendado,Paquete,100 g,"1,82 €",Mercadona
Salchichón de cebo ibérico cortado a máquina,Hacendado,Paquete,90 g aprox.,"2,30 €",Mercadona
Salchichón de bellota ibérico cortado a máquina,Hacendado,Paquete,90 g aprox.,"2,92 €",Mercadona
Salchichón ibérico extra  del ibérico lonchas,La Hacienda,Paquete,"4 paquetes x 31,25 g","2,03 €",Mercadona
Longaniza de pavo extra Hacendado,Imperial ,Pieza,235 g,"3,76 €",Mercadona
Longaniza clásica extra,Hacendado,Pieza,1 ud.,"2,80 €",Mercadona
Salami montañés extra,El Pozo,Pieza,1 ud.,"1,85 €",Mercadona
Salchichón cular ibérico extra  del ibérico,La Hacienda,Pieza,500 g aprox.,"6,98 €",Mercadona
Mini salchichón ibérico extra  del ibérico,La Hacienda,Pieza,200 g,"2,65 €",Mercadona
Salchichón cular ibérico extra  del ibérico,La Hacienda,Pieza,820 g aprox.,"11,44 €",Mercadona
Salchichón de bellota ibérico  del Ibérico,La Hacienda,Pieza,1 kg aprox.,"21,90 €",Mercadona
Longaniza de pavo extra  lonchas,Hacendado,Paquete,"4 paquetes x 31,25 g","2,38 €",Mercadona
Salchichón de pavo extra  lonchas,Hacendado,Paquete,"4 paquetes x 37,5 g","2,38 €",Mercadona
Sticks de salami extra,Hacendado,Paquete,50 g,"1,10 €",Mercadona
Pepperoni en lonchas,Hacendado,Paquete,75 g,"1,60 €",Mercadona
Salchichón cocido,Hacendado,Paquete,150 g,"1,74 €",Mercadona
Chorizo Pamplona extra  lonchas,Hacendado,Paquete,"4 paquetes x 56,25 g","1,95 €",Mercadona
Chorizo extra  lonchas,Hacendado,Paquete,4 paquetes x 60 g,"2,19 €",Mercadona
Chorizo de pavo extra  lonchas,Hacendado,Paquete,"4 paquetes x 37,5 g","2,38 €",Mercadona
Chorizo ibérico extra  del ibérico lonchas,La Hacienda,Paquete,"4 paquetes x 31,25 g","2,03 €",Mercadona
Chorizo picante extra,Hacendado,Pieza,280 g,"2,49 €",Mercadona
Taquitos de chorizo extra,Revilla,Paquete,2 paquetes x 100 g,"2,55 €",Mercadona
Chorizo extra  lonchas,Revilla,Paquete,65 g,"1,00 €",Mercadona
Chorizo picante extra  lonchas,Hacendado,Paquete,"4 paquetes x 56,25 g","2,42 €",Mercadona
Chorizo extra pimienta  finas lonchas,Hacendado,Paquete,100 g,"1,87 €",Mercadona
Chorizo de bellota ibérico cortado a máquina,Hacendado,Paquete,90 g aprox.,"2,92 €",Mercadona
Chorizo de cebo ibérico cortado a máquina,Hacendado,Paquete,90 g aprox.,"2,30 €",Mercadona
Chorizo dulce extra,Hacendado,Pieza,280 g,"2,49 €",Mercadona
Mini chorizo ibérico extra  del ibérico,La Hacienda,Pieza,200 g,"2,65 €",Mercadona
Chorizo de Tarancón,Bricio,Pieza,1 ud.,"3,20 €",Mercadona
Chorizo cular ibérico extra  del ibérico,La Hacienda,Pieza,500 g aprox.,"6,98 €",Mercadona
Chorizo cular ibérico extra  del ibérico,La Hacienda,Pieza,980 g aprox.,"13,67 €",Mercadona
Chorizo de bellota ibérico cular,Covap,Pieza,1 kg aprox.,"21,90 €",Mercadona
Lomo embuchado  lonchas,Hacendado,Paquete,"4 paquetes x 31,25 g","2,25 €",Mercadona
Cabecero de lomo  lonchas,Hacendado,Paquete,"4 paquetes x 31,25 g","2,25 €",Mercadona
Lomo de cebo ibérico cortado a máquina,Hacendado,Paquete,90 g aprox.,"3,87 €",Mercadona
Lomo,Hacendado,Pieza,400 g aprox.,"6,80 €",Mercadona
Caña de lomo cebo ibérico  del ibérico,La Hacienda,Pieza,500 g aprox.,"17,30 €",Mercadona
Caña de lomo cebo ibérico  del ibérico,La Hacienda,Pieza,"1,6 kg aprox.","55,36 €",Mercadona
Lomo de pavo  lonchas,Hacendado,Paquete,4 paquetes x 25 g,"2,49 €",Mercadona
