producto,marca,formato,cantidad,precio,supermercado
Nuggets de pollo  ultracongelados,Hacendado,Paquete,500 g,"2,70 €",Mercadona
Delicias de pollo  ultracongeladas,Hacendado,Paquete,500 g,"3,75 €",Mercadona
Croquetas de cocido  ultracongeladas,Hacendado,Paquete,350 g,"2,10 €",Mercadona
Nuggets de pavo  ultracongelados,Hacendado,Paquete,400 g,"3,20 €",Mercadona
Brochetas de pollo,Hacendado,Bandeja,370 g aprox.,"3,14 €",Mercadona
Flautas de pollo y queso,Hacendado,Bandeja,280 g,"2,00 €",Mercadona
Flautas de bacón y queso,Hacendado,Bandeja,280 g,"2,00 €",Mercadona
Lomo de cerdo adobado,Hacendado,Bandeja,470 g aprox.,"3,38 €",Mercadona
Lomo de cerdo adobado familiar,Hacendado,Bandeja,900 g aprox.,"6,08 €",Mercadona
San Jacobos de cerdo sin gluten,Hacendado,Bandeja,400 g aprox.,"2,52 €",Mercadona
Pechugas de pollo finas hierbas marinadas,Hacendado,Bandeja,650 g aprox.,"4,81 €",Mercadona
Medallones pechuga de pollo marinado,Hacendado,Bandeja,650 g aprox.,"4,52 €",Mercadona
Pechugas de pollo marinadas empanadas sin gluten,Hacendado,Bandeja,360 g aprox.,"2,83 €",Mercadona
Medallones preparado de solomillo cerdo provenzal,Hacendado,Bandeja,400 g aprox.,"4,14 €",Mercadona
Filetes de vacuno al ajillo,Hacendado,Bandeja,450 g aprox.,"7,11 €",Mercadona
Alas de pollo adobadas,Hacendado,Bandeja,680 g aprox.,"3,20 €",Mercadona
Fiambre de magro de cerdo adobado,Hacendado,Paquete,370 g,"2,68 €",Mercadona
Chuletas de pavo al ajillo,Hacendado,Bandeja,600 g aprox.,"4,14 €",Mercadona
Costilla de cerdo ibérico adobada,Hacendado,Bandeja,500 g aprox.,"3,43 €",Mercadona
Brochetas de pavo,Hacendado,Bandeja,500 g aprox.,"4,35 €",Mercadona
Filetes lomo al ajillo,Hacendado,Bandeja,500 g aprox.,"3,88 €",Mercadona
Pechugas de pavo pimentón,Hacendado,Bandeja,580 g aprox.,"4,81 €",Mercadona
Fiambre de pechuga de pavo adobada,Hacendado,Bandeja,370 g,"3,51 €",Mercadona
Contramuslos de pollo marinados con piel,Hacendado,Bandeja,600 g aprox.,"4,35 €",Mercadona
Chuletas de cerdo sajonia,Hacendado,Bandeja,290 g aprox.,"2,77 €",Mercadona
Callos preparados de ternera,Rogusa,Paquete,500 g,"3,75 €",Mercadona
Pincho amarillo de cerdo con perejil,Hacendado,Bandeja,500 g aprox.,"4,10 €",Mercadona
Pinchos de pollo adobados,Hacendado,Bandeja,500 g aprox.,"3,98 €",Mercadona
Lagrimitas de pollo al limón empanadas sin gluten,Hacendado,Bandeja,340 g aprox.,"2,89 €",Mercadona
Pechugas de pollo rellenas de jamón y queso empanadas sin gluten,Hacendado,Bandeja,450 g aprox.,"4,55 €",Mercadona
Solomillos de pollo marinados empanados sin gluten,Hacendado,Bandeja,465 g aprox.,"3,95 €",Mercadona
Flamenquín de pollo marinado con jamón y queso,Hacendado,Bandeja,450 g aprox.,"4,79 €",Mercadona
Lomo de cerdo marinado empanado,Hacendado,Bandeja,400 g aprox.,"3,30 €",Mercadona
