producto,marca,formato,cantidad,precio,supermercado
Laca cabello,Nelly,Spray,400 ml,"2,35 €",Mercadona
Laca cabello Forte  fijación 3,Deliplus,Spray,400 ml,"1,80 €",Mercadona
Espuma cabello Rizos Definidos  fijación 5,Pantene,Spray,250 ml,"3,75 €",Mercadona
Laca cabello Normal  fijación 2,Deliplus,Spray,400 ml,"1,80 €",Mercadona
Laca cabello Ultra Fuerte  fijación 5,Pantene,Spray,300 ml,"3,75 €",Mercadona
Laca cabello Xtra Forte  fijación 4,Deliplus,Spray,400 ml,"1,80 €",Mercadona
Laca cabello Xtra Forte  fijación 4,Deliplus,Spray,75 ml,"1,05 €",Mercadona
Espuma cabello Xtra Forte  fijación 4,Deliplus,Bote,300 ml,"1,90 €",Mercadona
Espuma cabello Xtra Forte  fijación 4,Deliplus,Bote,100 ml,"1,65 €",Mercadona
Espuma cabello Rizos Descarados  fijación 4,Giorgi,Spray,250 ml,"2,90 €",Mercadona
Espuma cabello Ondas Curly  fijación 3,Deliplus,Bote,300 ml,"2,30 €",Mercadona
Protector térmico cabello Termo Protect,Deliplus,Spray,200 ml,"3,00 €",Mercadona
Agua de peinado cabello Aqua Styling,Deliplus,Spray,200 ml,"2,10 €",Mercadona
Spray cabello Ondas Surfing,Deliplus,Spray,200 ml,"2,40 €",Mercadona
Mousse fijador cabello  fijación 2,Deliplus,Bote,200 ml,"2,60 €",Mercadona
Espuma cabello Max Volum  fijación 3,Deliplus,Bote,300 ml,"1,90 €",Mercadona
Laca cabello  fijación fuerte,Elnett,Spray,400 ml,"5,50 €",Mercadona
Bruma capilar y corporal Daily Love con brillo,Deliplus,Spray,250 ml,"4,00 €",Mercadona
Gel fijador cabello Xtra Forte  fijación 4,Deliplus,Bote,250 ml,"1,60 €",Mercadona
Gel fijador cabello Xtra Forte  fijación 4,Deliplus,Bote,100 ml,"1,50 €",Mercadona
Gel fijador cabello Forte  fijación 3,Deliplus,Bote,400 ml,"1,60 €",Mercadona
Cera cabello Mate  fijación 4,Deliplus,Bote,100 ml,"3,50 €",Mercadona
Gel fijador cabello X-trem  fijación 6,Deliplus,Bote,250 ml,"1,60 €",Mercadona
Gel fijador cabello Wet Shine  fuerte 02,Fructis,Bote,250 ml,"2,75 €",Mercadona
Gel fijador cabello extra fuerte  fijación 3,Giorgi,Bote,170 ml,"2,90 €",Mercadona
Gel fijador cabello control total  fijación 5,Giorgi,Bote,170 ml,"2,90 €",Mercadona
Cera cabello Brillo  fijación 4,Deliplus,Bote,100 ml,"3,20 €",Mercadona
Gel activador de rizos cabello Curl Perfect  fix 3,Deliplus,Bote,200 ml,"2,95 €",Mercadona
Gel fijador de rizos cabello Curl Control,Syoss,Bote,250 ml,"3,75 €",Mercadona
