producto,marca,formato,cantidad,precio,supermercado
Arena para gatos absorbente,Deligato,Bolsa,5 Kg,"1,40 €",Dia
Arena para gatos compacta,Deligato,Caja,4 Kg,"3,49 €",Dia
Arena para gatos absorbente perfumada,Deligato,Bolsa,5 Kg,"1,70 €",Dia
Alimento para gatos rico en ave,As,Bolsa,4 Kg,"6,69 €",Dia
Alimento para gatos multicomponente sabor pescado,As,Bolsa,4 Kg,"6,89 €",Dia
Alimento para gatos esterilizados con salmón,Ultima,Bolsa,1.5 Kg,"10,49 €",Dia
Alimento para gatos doble sabor,Gourmet,Lata,680 g,"6,79 €",Dia
Snack para gatos sticks de salmón,Deligato,Bolsa,10 unidades,"1,29 €",Dia
Snack para gatos rellenos con pollo y malta,Deligato,Bolsa,60 g,"0,94 €",Dia
Alimento para gatos en gelatina sabor pescado,Félix,Bolsa,340 g,"1,99 €",Dia
Paté para gato con salmón y trucha,Deligato,Tarrina,100 g,"0,50 €",Dia
Bocaditos en gelatina para gatos adultos,As,Bolsa,1.2 Kg,"3,85 €",Dia
Alimento para gatos en gelatina sabor carne,Félix,Bolsa,340 g,"1,99 €",Dia
Alimento para gatos esterilizados con pollo,Ultima,Bolsa,1.5 Kg,"10,49 €",Dia
Snack para gatos sticks de pollo e hígado,Deligato,Bolsa,10 unidades,"1,29 €",Dia
Arena para gatos magic clean,Vitakraft,Bolsa,1.85 Kg,"5,89 €",Dia
Alimento para gatos bocaditos con trucha  salmón y verduras,Deligato,Lata,400 g,"0,70 €",Dia
Paté para gato con buey,Deligato,Tarrina,100 g,"0,50 €",Dia
Alimento para gatos bocaditos con buey y verduras,Deligato,Lata,400 g,"0,70 €",Dia
Paté para gato esterilizado con pollo,Deligato,Tarrina,100 g,"0,50 €",Dia
Alimento para gatos salmón,Friskies,Bolsa,3 Kg,"9,69 €",Dia
Alimento para gatos con carne tarro,As,Lata,340 g,"2,25 €",Dia
Alimento para gatos gourmet mix pescado,As,Lata,4 x 85 g,"2,25 €",Dia
Mousse para gatos con pescado,Gourmet,Lata,85 g,"0,99 €",Dia
Alimento para gatos esterilizados con pollo  Pro+,Ultima,Bolsa,375 g,"3,69 €",Dia
Alimento para gatos esterilizados anti bolas de pelo con pavo,Ultima,Bolsa,440 g,"2,95 €",Dia
Alimento para gatos esterilizados con buey,Ultima,Bolsa,440 g,"2,95 €",Dia
Alimento para gatos con pollo,Ultima,Lata,85 g,"0,79 €",Dia
Alimento para gatos con pescado,Ultima,Lata,85 g,"0,79 €",Dia
Alimento para gatos paté de ternera,Deligato,Lata,400 g,"1,99 €",Dia
Alimento para gatos paté con pollo,Deligato,Lata,400 g,"1,99 €",Dia
Paté para gato junior con pollo y pavo,Deligato,Tarrina,100 g,"0,50 €",Dia
Mousse para gatos con pato,Deligato,Lata,85 g,"0,65 €",Dia
Mousse para gatos con pollo,Deligato,Lata,85 g,"0,65 €",Dia
Mousse para gatos con buey,Deligato,Lata,85 g,"0,65 €",Dia
Mousse para gatos con atún,Deligato,Lata,85 g,"0,65 €",Dia
Alimento para gatos mix,Dongato,Bolsa,7.5 Kg,"13,25 €",Dia
Snack para gatos líquido de pollo y salmón,Deligato,Bolsa,105 g,"1,40 €",Dia
Snack para gato de pollo con hierba,Vitakraft,Bolsa,3 unidades   18 g,"1,15 €",Dia
Alimento para gatos senior aves en gelatina,Whiskas,Bolsa,340 g,"2,39 €",Dia
Alimento para gatos selección carnes en salsa,Whiskas,Bolsa,340 g,"2,39 €",Dia
Alimento para gatos selección pescado en gelatina,Whiskas,Bolsa,340 g,"2,39 €",Dia
Alimento para gatos junior aves en gelatina,Whiskas,Bolsa,340 g,"2,59 €",Dia
Alimento para gatos esterilizados con pollo,Brekkies,Bolsa,3 Kg,"11,75 €",Dia
Alimento para gatos receta con buey,Brekkies,Bolsa,3.5 Kg,"11,35 €",Dia
Mousse para gatos de pollo,Gourmet,Caja,4 x 57 g,"3,39 €",Dia
Bocaditos de salmón,Biazoo,Tarrina,60 g,"1,05 €",Dia
Mousse para gatos de salmón,Vitakraft,Lata,85 g,"0,79 €",Dia
Mousse para gatos con pollo,Vitakraft,Lata,85 g,"0,79 €",Dia
Alimento para gatos fantastic sabor festín del mar,Félix,Bolsa,4 unidades   340 g,"2,79 €",Dia
Alimento para gatos fantastic sabor carne,Félix,Bolsa,4 x 85 g,"2,79 €",Dia
Mousse para gatos de salmón,Gourmet,Caja,4 x 57 g,"3,39 €",Dia
Alimento para gatos tartalette,Gourmet,Caja,8 x 85 g,"6,79 €",Dia
Alimento para gatos con pollo y pavo rellenas de jamón  Delicious,Brekkies,Bolsa,900 g,"4,25 €",Dia
Alimento para gatos con salmón y atún rellenas de gamba  Delicious,Brekkies,Bolsa,900 g,"4,25 €",Dia
Snack líquido para gatos con salmón,Vitakraft,Caja,90 g,"2,89 €",Dia
Alimento para gatos esterilizados con carne,Ultima,Bolsa,340 g,"2,99 €",Dia
Alimento para gatos esterilizados con pescado,Ultima,Bolsa,340 g,"2,99 €",Dia
Alimento para gatos adultos sabor salmón,Ultima,Bolsa,750 g,"5,59 €",Dia
Alimento para gatos esterilizados anti bolas de pelo con trucha,Ultima,Bolsa,1.5 Kg,"10,49 €",Dia
Alimento para gatos esterilizados y tracto urinario con pollo,Ultima,Bolsa,1.5 Kg,"10,49 €",Dia
Alimento para gatos esterilizados con salmón,Ultima,Bolsa,1.25 Kg,"10,90 €",Dia
Alimentos para gatos fondant pollo,Gourmet,Lata,85 g,"0,99 €",Dia
Alimento para gatos esterilizados digestivo con trucha,Ultima,Bolsa,1.5 kg,"8,95 €",Dia
Alimento para gatos esterilizados con buey,Ultima,Bolsa,800 g,"6,19 €",Dia
Alimento para gatos adultos con pollo,Ultima,Bolsa,1.25 Kg,"9,11 €",Dia
Bocaditos en salsa para gatos adultos,As,Caja,1.2 Kg,"3,85 €",Dia
Alimento para gatos control bolas de pelo rico en salmón con guisantes,As,Bolsa,1.5 Kg,"5,49 €",Dia
Alimento para gatos control tracto urinario con conejo  arroz y guisantes,As,Bolsa,1.5 Kg,"5,49 €",Dia
Alimento para gatos esterilizados anti bolas de pelo con pavo,Ultima,Bolsa,1.5 Kg,"10,49 €",Dia
Alimento para gatos senior,As,Bolsa,1.5 Kg,"3,89 €",Dia
Alimento para gatos junior rico en pollo y arroz,Ultima,Bolsa,400 g,"3,09 €",Dia
Alimento para gatos con atún/salmón/trucha,Gourmet,Caja,300 g,"2,99 €",Dia
Alimento para gatos varios sabores,Gourmet,Caja,300 g,"3,25 €",Dia
Alimento para gatos senior esterilizados,Ultima,Bolsa,800 g,"6,19 €",Dia
Alimento para gatos control bolas de pelo,Ultima,Bolsa,1.5 Kg,"10,29 €",Dia
Alimento para gatos party mix ocean,Félix,Bolsa,60 g,"1,83 €",Dia
Alimento para gatos especial digestión delicada,Ultima,Bolsa,1.5 Kg,"8,39 €",Dia
Alimento para gatos con pollo,Gourmet,Lata,85 g,"0,85 €",Dia
