producto,marca,formato,cantidad,precio,supermercado
Gazpacho tradicional,Hacendado,Brick,3 mini bricks x 330 ml,"2,15 €",Mercadona
Gazpacho tradicional,Hacendado,Botella,1 L,"1,70 €",Mercadona
Salmorejo al estilo cordobés,Hacendado,Brick,3 mini bricks x 330 ml,"2,65 €",Mercadona
Salmorejo al estilo cordobés,Hacendado,Brick,1 L,"2,15 €",Mercadona
Gazpacho fresco,Hacendado,Botella,1 L,"2,85 €",Mercadona
Gazpacho fresco,Hacendado,Botella,330 ml,"1,15 €",Mercadona
Salmorejo fresco,Hacendado,Botella,1 L,"3,15 €",Mercadona
Salmorejo fresco,Hacendado,Botella,330 ml,"1,25 €",Mercadona
Gazpacho blanco de almendras  con ajo blanco,Hacendado,Brick,3 mini bricks x 330 ml,"3,20 €",Mercadona
Crema de calabaza y zanahoria,Hacendado,Bol,350 g,"1,70 €",Mercadona
Crema de espárragos,Hacendado,Bol,350 g,"1,70 €",Mercadona
Crema de verduras,Hacendado,Bol,350 g,"1,70 €",Mercadona
Vichyssoise de puerro y patata,Hacendado,Bol,350 g,"1,70 €",Mercadona
Crema de pollo  con verduras,Hacendado,Brick,500 ml,"1,10 €",Mercadona
Crema de calabaza,Hacendado,Brick,500 ml,"1,10 €",Mercadona
Crema de verduras,Hacendado,Brick,500 ml,"1,10 €",Mercadona
Puré de patatas  en copos,Hacendado,Caja,4 bolsas (500 g),"2,00 €",Mercadona
Crema de setas  con champiñones,Starlux,Brick,500 ml,"1,60 €",Mercadona
Crema de calabacín  con queso de cabra,Starlux,Brick,500 ml,"1,50 €",Mercadona
Crema de calabacín,Hacendado,Bol,350 g,"1,70 €",Mercadona
