producto,marca,formato,cantidad,precio,supermercado
Burger de cerdo,Hacendado,Bandeja,6 ud. (540 g),"3,00 €",Mercadona
Burger de vacuno y cerdo,Hacendado,Bandeja,6 ud. (540 g),"3,78 €",Mercadona
Burger de vacuno,Hacendado,Bandeja,6 ud. (540 g),"4,40 €",Mercadona
Burger de pollo,Hacendado,Bandeja,6 ud. (540 g),"3,99 €",Mercadona
Burger de vacuno gruesas,Hacendado,Bandeja,2 ud. (360 g),"3,78 €",Mercadona
Burger de vacuno y cerdo con jamón y cebolla caramelizada,Hacendado,Bandeja,2 ud. (240 g),"2,50 €",Mercadona
Burger de pavo y espinacas,Hacendado,Bandeja,2 ud. (240 g),"2,20 €",Mercadona
Burger de pavo y pollo,Hacendado,Bandeja,6 ud. (540 g),"4,11 €",Mercadona
Mini burgers de pollo,Hacendado,Bandeja,8 ud. (280 g),"2,70 €",Mercadona
Mini burgers de vacuno y cerdo,Hacendado,Bandeja,8 ud. (280 g),"2,59 €",Mercadona
Burger de vacuno y cerdo gruesas,Hacendado,Bandeja,2 ud. (360 g),"3,15 €",Mercadona
Burger de pollo certificado gruesas alimentado con un 50% de maíz,Hacendado,Bandeja,2 ud. (360 g),"3,40 €",Mercadona
Burger de cerdo ibérico gruesas,Hacendado,Bandeja,2 ud. (360 g),"3,00 €",Mercadona
Burger de pollo y zanahoria,Hacendado,Bandeja,2 ud. (240 g),"2,31 €",Mercadona
Burger de vacuno angus gruesas,Hacendado,Bandeja,2 ud. (360 g),"4,81 €",Mercadona
Burger,Crunchy Chicken,Bandeja,2 ud. (240 g),"2,05 €",Mercadona
Hamburguesa de lomo de vacuno,Hacendado,Paquete,2 ud. (240 g),"3,70 €",Mercadona
Preparado de carne picada vacuno y cerdo,Hacendado,Bandeja,500 g,"3,60 €",Mercadona
Preparado de carne picada vacuno y cerdo,Hacendado,Bandeja,1 kg,"6,50 €",Mercadona
Preparado de carne picada cerdo,Hacendado,Bandeja,500 g,"2,85 €",Mercadona
Preparado de carne picada vacuno,Hacendado,Bandeja,500 g,"3,95 €",Mercadona
Preparado de carne picada vacuno,Hacendado,Bandeja,1 kg,"7,30 €",Mercadona
Albóndigas de cerdo,Hacendado,Bandeja,24 ud. (840 g),"4,55 €",Mercadona
Albóndigas de pollo,Hacendado,Bandeja,840 g,"6,20 €",Mercadona
Preparado de carne picada vacuno,Hacendado,Paquete,400 g,"4,50 €",Mercadona
Preparado de carne picada pollo,Hacendado,Bandeja,500 g,"3,55 €",Mercadona
