producto,marca,formato,cantidad,precio,supermercado
Harina de trigo,Hacendado,Paquete,1 kg,"0,70 €",Mercadona
Harina de trigo grande,Hacendado,Paquete,5 kg,"2,90 €",Mercadona
Harina de fuerza,Hacendado,Paquete,1 kg,"0,91 €",Mercadona
Preparado para bizcochos con levadura incorporada,Hacendado,Paquete,1 kg,"1,05 €",Mercadona
Harina de maíz blanco precocida,Hacendado,Paquete,1 kg,"1,68 €",Mercadona
Harina fina de maíz,Hacendado,Paquete,400 g,"1,20 €",Mercadona
Harina integral de trigo,Hacendado,Paquete,1 kg,"0,80 €",Mercadona
Preparado para pizzas,Hacendado,Paquete,1 kg,"1,45 €",Mercadona
Harina de espelta  100% integral,Hacendado,Paquete,1 kg,"1,39 €",Mercadona
Harina semolosa de trigo  especial para fritos,Hacendado,Paquete,1 kg,"1,20 €",Mercadona
Harina de arroz,Hacendado,Paquete,500 g,"1,25 €",Mercadona
Preparado panificación y repostería,Hacendado,Paquete,1 kg,"2,70 €",Mercadona
Harina de garbanzo,Hacendado,Paquete,500 g,"2,00 €",Mercadona
Sémola de trigo duro  para migas,Hacendado,Paquete,1 kg,"1,30 €",Mercadona
Levadura fresca,Levital,Paquete,50 g,"0,45 €",Mercadona
Chocolate negro fundir,Hacendado,Tableta,200 g,"1,45 €",Mercadona
Impulsor gasificante en polvo  uso alimentario,Royal,Caja,5 sobres (80 g),"2,25 €",Mercadona
Impulsor gasificante  para uso alimentario,Hacendado,Caja,6 sobres (90 g),"0,70 €",Mercadona
Gelatina neutra en láminas,Hacendado,Paquete,12 láminas (20 g),"1,00 €",Mercadona
Preparado en polvo cuajada azucarada  sabor lácteo,Royal,Caja,4 sobres (48 g),"1,45 €",Mercadona
Preparado en polvo flan,Royal,Caja,186 g,"1,80 €",Mercadona
Gotas de chocolate negro para fundir,Hacendado,Paquete,250 g,"2,10 €",Mercadona
Preparado en polvo flan,Hacendado,Caja,190 g,"1,40 €",Mercadona
Chocolate blanco fundir,Hacendado,Tableta,200 g,"1,60 €",Mercadona
Preparado en polvo flanes y natillas,Maizena Potax,Caja,6 sobres (192 g),"1,75 €",Mercadona
Aroma de vainilla,Hacendado,Bote,150 ml,"2,00 €",Mercadona
Preparado en polvo natillas,Hacendado,Caja,89 g,"1,40 €",Mercadona
Preparado en polvo gelatina piña,Hacendado,Caja,2 sobres (170 g),"1,50 €",Mercadona
Preparado en polvo para crepes,Hacendado,Bote,200 g,"2,00 €",Mercadona
Preparado en polvo gelatina fresa,Hacendado,Caja,2 sobres (170 g),"1,50 €",Mercadona
Preparado en polvo gelatina fresa  0% azúcar,Hacendado,Caja,1 sobre (26 g),"2,00 €",Mercadona
Preparado en polvo gelatina arándano  0% azúcar,Hacendado,Caja,1 sobre (31 g),"2,00 €",Mercadona
Chocolate negro 70% cacao fundir  0% azúcares añadidos,Hacendado,Tableta,200 g,"2,40 €",Mercadona
Chocolate con leche fundir,Hacendado,Tableta,200 g,"1,60 €",Mercadona
Levadura de panadería,Hacendado,Paquete,10 sobres (70 g),"1,50 €",Mercadona
Masa fresca hojaldre,Hacendado,Paquete,2 paquetes x 260 g,"2,50 €",Mercadona
Masa fresca  hojaldre con mantequilla,Hacendado,Paquete,2 paquetes x 260 g,"2,80 €",Mercadona
Masa fresca quebrada brisa,Hacendado,Paquete,2 paquetes x 230 g,"2,60 €",Mercadona
Masa fresca empanada,Hacendado,Paquete,2 paquetes x 230 g,"2,60 €",Mercadona
Masa de hojaldre sin gluten,Hacendado,Paquete,280 g,"2,80 €",Mercadona
Masa filo,Bella,Paquete,250 g,"2,00 €",Mercadona
