producto,marca,formato,cantidad,precio,supermercado
Jamón serrano  lonchas extrafinas,Incarlopsa,Paquete,120 g,"2,45 €",Mercadona
Mini taquitos de jamón,Incarlopsa,Paquete,2 paquetes x 90 g,"2,65 €",Mercadona
Jamón serrano  lonchas,Incarlopsa,Paquete,240 g,"4,10 €",Mercadona
Jamón serrano cortado a máquina,Hacendado,Paquete,160 g aprox.,"3,68 €",Mercadona
Jamón cebo ibérico cortado a máquina,Hacendado,Paquete,160 g aprox.,"8,24 €",Mercadona
Jamón gran reserva cortado a cuchillo,Hacendado,Paquete,90 g aprox.,"3,78 €",Mercadona
Jamón serrano reserva cortado a cuchillo,Hacendado,Paquete,90 g aprox.,"3,51 €",Mercadona
Jamón cebo ibérico cortado a cuchillo,Hacendado,Paquete,90 g aprox.,"6,75 €",Mercadona
Jamón bellota ibérico cortado a cuchillo,Hacendado,Paquete,90 g aprox.,"12,15 €",Mercadona
Jamón de cebo ibérico 50% raza ibérica,La Hacienda del Ibérico,Paquete,100 g,"4,90 €",Mercadona
Jamón serrano medias lonchas,Jamcal ,Paquete,2 paquetes x 120 g,"4,15 €",Mercadona
Paleta curada lonchas Paletas,Marpa,Paquete,2 ud. x 120 g,"4,40 €",Mercadona
Jamón de Trevélez  lonchas extra finas,Antonio Álvarez,Paquete,120 g,"3,50 €",Mercadona
Taquitos de jamón,Incarlopsa,Paquete,2 paquetes x 100 g,"2,65 €",Mercadona
Taco jamón curado,Hacendado,Pieza,220 g aprox.,"3,74 €",Mercadona
Hueso garrón,Incarlopsa,Paquete,290 g aprox.,"1,16 €",Mercadona
Panceta salada ibérica  del ibérico,La Hacienda,Paquete,360 g aprox.,"2,70 €",Mercadona
Cecina ahumada natural  lonchas,Embutidos Pajariel,Paquete,100 g,"3,25 €",Mercadona
Jamón serrano gran reserva  sin aditivos lonchas,Costa Brava,Paquete,90 g,"2,30 €",Mercadona
Jamón serrano,Hacendado,Pieza,"6,6 kg aprox.","48,00 €",Mercadona
Jamón serrano,Incarlopsa,Pieza,"7,6 kg aprox.","58,00 €",Mercadona
Paleta de cebo ibérica,La Hacienda del Ibérico,Pieza,5 kg aprox.,"58,00 €",Mercadona
Jamón de cebo ibérico,La Hacienda del Ibérico,Pieza,"8,5 kg aprox.","129,00 €",Mercadona
Jamón de Trevélez,A. Álvarez,Pieza,7 kg aprox.,"85,00 €",Mercadona
Jamón de bellota ibérico 50%,La Hacienda del Ibérico,Pieza,9 kg aprox.,"391,50 €",Mercadona
Paleta de cerdo curada,Incarlopsa,Pieza,"4,61 kg aprox.","30,00 €",Mercadona
Caja jamonera grande soporta 12 kg,Hacendado,Caja,1 ud.,"1,50 €",Mercadona
