producto,marca,formato,cantidad,precio,supermercado
3 Barras de pan,Hacendado,Paquete,3 ud. (750 g),"1,15 €",Mercadona
Barra de pan,Hacendado,Paquete,1 ud. (250 g),"0,48 €",Mercadona
Barra de pan rústica,Hacendado,Paquete,1 ud. (250 g),"0,70 €",Mercadona
Baguette,Hacendado,Paquete,1 ud. (250 g),"0,55 €",Mercadona
Barra de pan campesina masa madre,Hacendado,Paquete,1 ud. (250 g),"0,70 €",Mercadona
2 Baguettes para hornear,Hacendado,Paquete,2 ud. (300 g),"1,10 €",Mercadona
Baguette sin gluten,Hacendado,Paquete,175 g,"1,95 €",Mercadona
Pan de trigo espelta 100%,Hacendado,Paquete,1 ud. (290 g),"1,50 €",Mercadona
"Pan de nueces 8,5%",Hacendado,Paquete,1 ud. (350 g),"1,80 €",Mercadona
Pan campeón del mundo,Hacendado,Paquete,1 ud. (750 g),"2,10 €",Mercadona
Pan integral trigo 100%,Hacendado,Paquete,1 ud. (350 g),"1,63 €",Mercadona
Hogaza de centeno 50%,Hacendado,Paquete,1 ud. (500 g),"1,80 €",Mercadona
Barra pan de pueblo,Hacendado,Paquete,1 ud. (800 g),"1,60 €",Mercadona
Barra de pan espiga,Hacendado,Paquete,1 ud. (400 g),"1,00 €",Mercadona
Rosca para rellenar y hornear,Hacendado,Paquete,1 ud (500 g),"1,54 €",Mercadona
5 Bocadillos,Hacendado,Paquete,5 ud. x 140 g,"1,15 €",Mercadona
Panecillo de queso 18%,Hacendado,Paquete,1 ud. (85 g),"0,45 €",Mercadona
Chapata de cristal,Hacendado,Paquete,1 ud. (71 g),"0,35 €",Mercadona
Pan mini semillas,Hacendado,Paquete,1 ud. (90 g),"0,35 €",Mercadona
5 Barras de pan 51% integral,Hacendado,Paquete,5 ud. x 125 g,"1,30 €",Mercadona
Panecillo harina integral 50% de trigo sin sal añadida,Hacendado,Paquete,1 ud. (80 g),"0,35 €",Mercadona
6 Panes de leche 3%,Hacendado,Paquete,6 ud. x 80 g,"1,50 €",Mercadona
Pulguita,Hacendado,Paquete,1 ud. (40 g),"0,17 €",Mercadona
Panecillo de trigo integral 30%,Hacendado,Paquete,1 ud. (70 g),"0,35 €",Mercadona
6 Panes de centeno 51%,Hacendado,Paquete,6 ud. x 78 g,"1,55 €",Mercadona
11 Panecillos,Hacendado,Paquete,11 ud. x 45 g,"1,10 €",Mercadona
Pan Viena,Hacendado,Paquete,1 ud. (80 g),"0,40 €",Mercadona
3 Panes molletes,Hacendado,Paquete,3 ud. x 105 g,"1,15 €",Mercadona
6 Panecillos integrales 100%,Hacendado,Paquete,6 ud. x 45 g,"1,05 €",Mercadona
6 Panes serranos,Hacendado,Paquete,6 ud. x 60 g,"1,30 €",Mercadona
Pan integral 100% fino,Hacendado,Paquete,2 ud. (165 g),"1,50 €",Mercadona
Panecillo sin sal añadida,Hacendado,Paquete,1 ud. (85 g),"0,40 €",Mercadona
4 Panes de cristal redondos cortados 100 % natural,Hacendado,Paquete,4 ud. x 60 g,"1,95 €",Mercadona
Pan campeón del mundo rebanado,Hacendado,Paquete,1 ud. (750 g),"2,10 €",Mercadona
Pan integral trigo 100% rebanado,Hacendado,Paquete,1 ud. (350 g),"1,63 €",Mercadona
Pan de trigo espelta 100% rebanado,Hacendado,Paquete,1 ud. (290 g),"1,50 €",Mercadona
"Pan de nueces 8,5% rebanado",Hacendado,Paquete,1 ud. (350 g),"1,80 €",Mercadona
3 Barras de pan rebanadas,Hacendado,Paquete,3 ud. (750 g),"1,15 €",Mercadona
Barra de pan rebanada,Hacendado,Paquete,1 ud. (250 g),"0,48 €",Mercadona
Barra de pan rústica rebanada,Hacendado,Paquete,1 ud. (250 g),"0,70 €",Mercadona
Barra de pan campesina masa madre rebanada,Hacendado,Paquete,1 ud. (250 g),"0,70 €",Mercadona
Hogaza de centeno 50% rebanado,Hacendado,Paquete,1 ud. (500 g),"1,80 €",Mercadona
Barra pan de pueblo rebanada,Hacendado,Paquete,1 ud. (800 g),"1,60 €",Mercadona
Barra de pan espiga rebanado,Hacendado,Paquete,1 ud. (400 g),"1,00 €",Mercadona
