producto,marca,formato,cantidad,precio,supermercado
Pan de molde blanco sin corteza,Hacendado,Paquete,16 rebanadas (450 g),"1,25 €",Mercadona
Pan de molde blanco familiar,Hacendado,Paquete,26 rebanadas (820 g),"1,25 €",Mercadona
Pan de molde blanco,Hacendado,Paquete,16 rebanadas (460 g),"0,85 €",Mercadona
Pan de molde 100% integral familiar,Hacendado,Paquete,26 rebanadas (820 g),"1,25 €",Mercadona
Pan de molde 100% integral,Hacendado,Paquete,16 rebanadas (460 g),"0,95 €",Mercadona
Pan de molde 100% integral sin corteza  0% azúcares añadidos,Hacendado,Paquete,16 rebanadas (450 g),"1,35 €",Mercadona
Pan de molde blanco natural rústico  0% azúcares añadidos,Hacendado,Paquete,14 rebanadas (550 g),"1,60 €",Mercadona
Pan de molde 100% integral  0% azúcares añadidos,Hacendado,Paquete,16 rebanadas (460 g),"1,25 €",Mercadona
Pan de molde blanco rebanada gruesa,Hacendado,Paquete,16 rebanadas (820 g),"1,80 €",Mercadona
Pan de molde cereales sin gluten,Hacendado,Paquete,14 rebanadas (470 g),"2,90 €",Mercadona
Pan de molde sin gluten blanco,Hacendado,Paquete,14 rebanadas (500 g),"2,90 €",Mercadona
Pan redondo 5 semillas,Hacendado,Paquete,500 g,"1,75 €",Mercadona
Barra de pan tradicional,Hacendado,Paquete,700 g,"1,35 €",Mercadona
Barra de pan multifibras,Hacendado,Paquete,600 g,"1,40 €",Mercadona
Pan de molde espelta 100% integral,Hacendado,Paquete,10 rebanadas (400 g),"1,40 €",Mercadona
Pan de molde con 35% avena  0% azúcares añadidos con harina 100% integral,Hacendado,Paquete,12 rebanadas (460 g),"1,45 €",Mercadona
Pan de molde semillas y pipas de calabaza,Hacendado,Paquete,14 rebanadas (580 g),"1,75 €",Mercadona
Pan de molde con 55% centeno,Hacendado,Paquete,16 rebanadas (720 g),"1,55 €",Mercadona
Pan de molde 12 cereales y semillas,Hacendado,Paquete,16 rebanadas (680 g),"1,70 €",Mercadona
Hogaza sin gluten,Hacendado,Paquete,300 g,"2,84 €",Mercadona
Pan Brioche,Hacendado,Paquete,400 g,"2,35 €",Mercadona
Molletes,San Roque de Antequera,Paquete,2 ud. (200 g),"0,96 €",Mercadona
Pan Bagel,Hacendado,Paquete,4 ud. (300 g),"1,50 €",Mercadona
Pan redondo sin gluten,Hacendado,Paquete,2 ud. (160 g),"1,85 €",Mercadona
Tortillas de trigo,Hacendado,Paquete,10 ud. (360 g),"1,30 €",Mercadona
Pan hot dog,Hacendado,Paquete,6 ud. (330 g),"0,95 €",Mercadona
Pan maxi hamburguesa,Hacendado,Paquete,4 ud. (300 g),"0,90 €",Mercadona
Tortillas de trigo integrales,Hacendado,Paquete,10 ud. (360 g),"1,65 €",Mercadona
Pan de hamburguesa Brioche,Hacendado,Paquete,2 ud. (150 g),"1,05 €",Mercadona
Maxi tortillas de trigo,Hacendado,Paquete,6 ud. (360 g),"1,60 €",Mercadona
Pan de Pita Original precocido,Hacendado,Paquete,2 paquetes x 200 g,"1,65 €",Mercadona
Pan de hamburguesa,Hacendado,Paquete,4 ud. (220 g),"1,00 €",Mercadona
Mini tortillas de trigo,Hacendado,Paquete,2 paquetes x 150 g,"1,75 €",Mercadona
Piadinas pan estilo italiano,Hacendado,Paquete,4 ud. (320 g),"2,10 €",Mercadona
Pan Mini bocados,Hacendado,Paquete,8 ud. (165 g),"1,25 €",Mercadona
Tortillas de maíz sin gluten,Old El Paso,Paquete,10 ud. (208 g),"2,20 €",Mercadona
Pan de hamburguesa  Rústico 100% integral,Hacendado,Paquete,4 ud. (330 g),"1,25 €",Mercadona
Tortillas de avena 51%,Hacendado,Paquete,6 ud. (360 g),"2,00 €",Mercadona
