producto,marca,formato,cantidad,precio,supermercado
Pan tostado classic,Hacendado,Paquete,6 packs (550 g),"1,80 €",Mercadona
Pan tostado cereales y semillas,Hacendado,Paquete,6 packs (550 g),"2,35 €",Mercadona
Pan tostado pasas,Hacendado,Paquete,120 g,"1,20 €",Mercadona
Pan tostado 100% espelta integral,Hacendado,Paquete,250 g,"1,65 €",Mercadona
Panecillo tostado classic,Hacendado,Paquete,300 g,"1,05 €",Mercadona
Mini tostadas de trigo  extra finas,Minigrill,Caja,100 g,"1,40 €",Mercadona
Pan tostado 100% integral,Hacendado,Paquete,6 packs (550 g),"1,90 €",Mercadona
Mini biscotes de trigo,Minigrill,Caja,60 ud. (120 g),"0,80 €",Mercadona
Panecillos tostados cereales y semillas,Hacendado,Paquete,250 g,"1,25 €",Mercadona
Panecillo tostado 100% integral de trigo,Hacendado,Paquete,300 g,"1,10 €",Mercadona
Pan tostado 100% integral bajo en sal y en azúcares,Hacendado,Paquete,6 packs (540 g),"2,30 €",Mercadona
Pan tostado vitalité,Wasa,Paquete,280 g,"2,60 €",Mercadona
Pan tostado con tomate,Hacendado,Paquete,170 g,"1,25 €",Mercadona
Pan tostado con ajo y perejil,Hacendado,Paquete,170 g,"1,25 €",Mercadona
Mini biscotes 100% integral  de trigo con sésamo,Hacendado,Paquete,180 g,"1,20 €",Mercadona
Pan rallado con ajo y perejil,Hacendado,Paquete,500 g,"1,05 €",Mercadona
Pan rallado crujiente,Hacendado,Paquete,400 g,"1,70 €",Mercadona
Pan rallado sin gluten,Hacendado,Paquete,350 g,"2,15 €",Mercadona
Pan rallado casero,Hacendado,Paquete,500 g,"1,05 €",Mercadona
Pan rallado,Hacendado,Paquete,750 g,"0,90 €",Mercadona
Crackers integrales de espelta,Bachman,Caja,4 paquetes (240 g),"1,70 €",Mercadona
Pan de fibra y sésamo,Hacendado,Paquete,26 ud. (250 g),"1,20 €",Mercadona
Galletas saladas salpicks,Galbusera,Paquete,16 bolsitas (400 g),"1,90 €",Mercadona
Crackers 30% integral,Galbusera,Paquete,14 bolsitas (500 g),"1,95 €",Mercadona
Crackers con sal,Galbusera,Paquete,14 bolsitas (500 g),"1,95 €",Mercadona
Crackers sin gluten  con romero,Hacendado,Paquete,6 bolsitas (200 g),"1,80 €",Mercadona
Tostadas sin gluten,Hacendado,Caja,18 ud. (100 g),"1,45 €",Mercadona
