producto,marca,formato,cantidad,precio,supermercado
Papel higiénico,La Llama Dia,Bolsa,12 unidades,"2,25 €",Dia
Papel higiénico compacto doble rollo,La Llama Dia,Bolsa,12 unidades,"4,40 €",Dia
Papel multiusos absorción 375 servicios,La Llama Dia,Bolsa,1 unidad,"2,99 €",Dia
Papel de cocina compacto doble rollo,La Llama Dia,Bolsa,3 unidades,"2,10 €",Dia
Servilletas blancas 1 capa,La Llama Dia,Bolsa,200 unidades,"1,25 €",Dia
Papel higiénico compacto doble rollo,La Llama Dia,Bolsa,6 unidades,"2,25 €",Dia
Papel higiénico húmedo Fresh,La Llama Dia,Bolsa,80 unidades,"1,50 €",Dia
Pañuelos pocket blancos,La Llama Dia,Paquete,10 unidades,"1,39 €",Dia
Papel higiénico perfumado 4 capas,La Llama Dia,Bolsa,8 unidades,"3,85 €",Dia
Pañuelos faciales,La Llama Dia,Caja,150 unidades,"1,49 €",Dia
Papel cocina estándar 2 capas ,La Llama Dia,Bolsa,2 unidades,"1,29 €",Dia
Servilletas suaves 2 capas,La Llama Dia,Bolsa,100 unidades,"1,40 €",Dia
Papel higiénico original,Scottex,Bolsa,12 unidades,"4,49 €",Dia
Papel higiénico ultra suave 3 capas,La Llama Dia,Bolsa,8 unidades,"3,69 €",Dia
Papel higiénico suave 2 capas,Amoos,Bolsa,12 unidades,"2,29 €",Dia
Papel higiénico,Foxy,Bolsa,6 unidades,"3,99 €",Dia
Papel multiusos jumbo 2 capas,Amoos,Bolsa,1 unidad,"2,99 €",Dia
Papel higiénico húmedo,Planeta Junior de Dia,Bolsa,100 unidades,"1,89 €",Dia
Papel de cocina compacto reciclado doble rollo,La Llama Dia,Bolsa,2 unidades,"2,19 €",Dia
Papel multiusos resistente,La Llama Dia,Bolsa,1 unidad,"2,99 €",Dia
Papel multiusos 3 capas,La Llama Dia,Bolsa,1 unidad,"3,45 €",Dia
Papel higiénico triple rollo,La Llama Dia,Bolsa,4 unidades,"2,99 €",Dia
Papel higiénico aloe vera,Amoos,Bolsa,6 unidades,"3,25 €",Dia
Papel de cocina aroma limón,Amoos,Bolsa,2 unidades,"2,49 €",Dia
Pañuelos pocket mentolados 4 capas,La Llama Dia,Paquete,10 unidades,"1,75 €",Dia
Servilletas recicladas 2 capas,La Llama Dia,Bolsa,50 unidades,"1,59 €",Dia
Papel de cocina decorado 3 capas,La Llama Dia,Bolsa,2 unidades,"2,99 €",Dia
Papel higiénico acolchado 3 capas,La Llama Dia,Bolsa,6 unidades,"2,99 €",Dia
Papel higiénico compacto reciclado doble rollo,La Llama Dia,Bolsa,6 unidades,"3,25 €",Dia
Papel higiénico dermo cuidado,Scottex,Bolsa,6 unidades,"3,29 €",Dia
Papel de cocina gigante,Scottex,Bolsa,2 unidades,"3,29 €",Dia
Papel multiusos,Foxy,Bolsa,1 unidad,"5,49 €",Dia
Papel de cocina,Foxy,Bolsa,2 unidades,"3,49 €",Dia
Papel higiénico megarrollo,Scottex,Bolsa,6 unidades,"4,49 €",Dia
Papel higiénico megarollo,Scottex,Bolsa,9 unidades,"6,49 €",Dia
Papel higiénico cuida y protege 3 capas,Colhogar,Bolsa,4 unidades,"3,39 €",Dia
Papel cocina para todo,Colhogar,Bolsa,1 unidad,"4,49 €",Dia
Papel higiénico xxl,Colhogar,Bolsa,6 unidades,"4,49 €",Dia
Rollo cocina jumbo,Scottex,Bolsa,1 unidad,"4,15 €",Dia
Pañuelos faciales,Kleenex,Caja,56 unidades,"2,10 €",Dia
Papel higiénico acolchado 3 capas,Scottex,Bolsa,9 unidades,"5,29 €",Dia
Papel de cocina megarollo,Scottex,Bolsa,2 unidades,"1,99 €",Dia
Pañuelos tres capas,Scottex,Paquete,8 unidades,"1,59 €",Dia
