producto,marca,formato,cantidad,precio,supermercado
Paté de cerdo La Piara tapa negra,Hacendado,Lata,3 latas x 87 g,"3,95 €",Mercadona
Paté de cerdo sabor suave,Hacendado,Lata,3 latas x 80 g,"1,35 €",Mercadona
Paté de cerdo con finas hierbas,Hacendado,Tarro,160 g,"1,15 €",Mercadona
Paté de cerdo con pimienta,Hacendado,Tarro,160 g,"1,15 €",Mercadona
Paté de cerdo con pimienta verde,Hacendado,Bandeja,100 g,"1,45 €",Mercadona
Paté de atún,Hacendado,Lata,3 latas x 80 g,"2,10 €",Mercadona
Paté de cerdo campaña,Hacendado,Tarro,160 g,"1,15 €",Mercadona
Paté de cerdo con finas hierbas,Hacendado,Bandeja,100 g,"1,45 €",Mercadona
Crema para untar fiambre de jamón york  sabor ahumado,Hacendado,Tarrina,160 g,"1,40 €",Mercadona
Paté de salmón,Hacendado,Tarro,160 g,"1,15 €",Mercadona
Paté de cerdo light,Hacendado,Lata,2 latas x 80 g,"1,40 €",Mercadona
Paté de jamón,Hacendado,Tarro,160 g,"1,15 €",Mercadona
Paté de anchoa,Hacendado,Tarro,160 g,"1,65 €",Mercadona
Paté de cerdo ibérico,Hacendado,Lata,3 latas x 80 g,"1,75 €",Mercadona
Paté de cerdo sabor intenso,Hacendado,Lata,3 latas x 80 g,"1,75 €",Mercadona
Paté de cerdo y pollo con trufa y arándanos,Hacendado,Paquete,100 g,"1,85 €",Mercadona
Mousse de pato,Hacendado,Bandeja,100 g,"1,90 €",Mercadona
Paté de cerdo  con cebolla caramelizada,Hacendado,Lata,130 g,"1,55 €",Mercadona
Foie gras entero de pato,Hacendado,Paquete,100 g,"8,30 €",Mercadona
Bloc foie gras de pato,Hacendado,Paquete,100 g,"5,25 €",Mercadona
Paté de cerdo sabor picante,Hacendado,Lata,2 latas x 80 g,"1,85 €",Mercadona
Paté de pollo asado,Hacendado,Tarro,160 g,"1,15 €",Mercadona
Paté de perdiz,Real Carolina,Lata,170 g,"3,40 €",Mercadona
Sobrasada selecta L'Illa especialidades,L`Illa,Tarrina,250 g,"1,85 €",Mercadona
Sobrasada ibérica L'Illa especialidades,L`Illa,Tarrina,250 g,"2,25 €",Mercadona
