producto,marca,formato,cantidad,precio,supermercado
Picos saladitos,Hacendado,Paquete,250 g,"1,25 €",Mercadona
Picos 100% integrales,Hacendado,Paquete,250 g,"0,85 €",Mercadona
Picos,Hacendado,Paquete,250 g,"0,85 €",Mercadona
Regañá,Hacendado,Paquete,250 g,"1,10 €",Mercadona
Piquitos bajos en sal,Hacendado,Paquete,250 g,"1,35 €",Mercadona
Grissini palitos de pan con sésamo,Hacendado,Paquete,2 paquetes x 100 g,"1,60 €",Mercadona
Grissini palitos de pan,Hacendado,Caja,4 ud. (250 g),"1,75 €",Mercadona
Picos sin gluten,Hacendado,Paquete,100 g,"1,50 €",Mercadona
Picos reventaos,Hacendado,Paquete,250 g,"1,05 €",Mercadona
Picos camperos de Jerez,Hacendado,Paquete,250 g,"1,05 €",Mercadona
Piquitos con salvado,San Roque,Paquete,142 g,"1,00 €",Mercadona
"Surtido de picos, colines y regañás con sésamo",Hacendado,Paquete,350 g,"1,50 €",Mercadona
Regañá artesana,Hacendado,Paquete,200 g,"1,70 €",Mercadona
Palitos de pan con pipas,Anitin,Paquete,2 paquetes x 83 g,"1,35 €",Mercadona
Palitos con frutos secos,Hacendado,Paquete,2 paquetes x 65 g,"1,15 €",Mercadona
Palitos de pan 100% trigo espelta integral,Anitin,Paquete,2 paquetes x 75 g,"1,35 €",Mercadona
Palitos de pan con queso,Anitin,Paquete,2 paquetes x 71 g,"1,35 €",Mercadona
Panes especiales con tomate y orégano,Hacendado,Paquete,80 g,"0,90 €",Mercadona
Panes especiales sabor pizza con queso,Hacendado,Paquete,80 g,"0,90 €",Mercadona
Picatostes fritos,Hacendado,Paquete,100 g,"0,85 €",Mercadona
Picatostes fritos con ajo,Hacendado,Paquete,100 g,"0,85 €",Mercadona
Picatostes tostados,Hacendado,Paquete,100 g,"0,70 €",Mercadona
