producto,marca,formato,cantidad,precio,supermercado
Queso curado mezcla,Hacendado,Pieza,"1,63 kg aprox.","17,60 €",Mercadona
Queso curado mezcla  cortado en cuñitas,Hacendado,Pieza,330 g aprox.,"4,79 €",Mercadona
Queso curado mezcla,Hacendado,Pieza,410 g aprox.,"4,71 €",Mercadona
Queso curado mezcla,Hacendado,Pieza,"1,03 kg aprox.","11,53 €",Mercadona
Queso grana padano,Zanetti,Pieza,230 g aprox.,"3,36 €",Mercadona
Queso viejo tostado mezcla,Hacendado,Pieza,"1,64 kg aprox.","21,16 €",Mercadona
Queso viejo tostado mezcla,Hacendado,Pieza,395 g aprox.,"5,43 €",Mercadona
Queso curado y cheddar  en dados,Hacendado,Paquete,125 g,"1,05 €",Mercadona
Queso viejo de oveja,Hacendado,Pieza,"1,54 kg aprox.","21,64 €",Mercadona
Queso viejo de oveja,Hacendado,Pieza,380 g aprox.,"6,10 €",Mercadona
Queso añejo fuerte de oveja,Hacendado,Pieza,330 g aprox.,"5,81 €",Mercadona
Queso añejo fuerte de oveja,Hacendado,Pieza,750 g aprox.,"13,20 €",Mercadona
Queso viejo intenso mezcla,Hacendado,Pieza,330 g aprox.,"4,55 €",Mercadona
Tabla de quesos nacionales,Hacendado,Bandeja,240 g,"4,95 €",Mercadona
Queso viejo gouda,Hacendado,Pieza,250 g,"3,75 €",Mercadona
Queso viejo ahumado de oveja,Hacendado,Pieza,330 g aprox.,"5,68 €",Mercadona
Queso Arzúa-Ulloa de vaca,Punteiro,Pieza,780 g aprox.,"6,90 €",Mercadona
Queso curado cheddar,Hacendado,Pieza,300 g,"3,00 €",Mercadona
Queso curado DOP manchego de oveja,Hacendado,Pieza,350 g aprox.,"8,15 €",Mercadona
Queso viejo cremoso de oveja,Hacendado,Pieza,300 g aprox.,"5,08 €",Mercadona
Queso añejo mezcla con aceite de oliva,Hacendado,Pieza,305 g aprox.,"5,47 €",Mercadona
Queso grana padano  en escamas,Hacendado,Bote,100 g,"2,48 €",Mercadona
Queso añejo picante mezcla,Hacendado,Pieza,370 g aprox.,"6,31 €",Mercadona
Queso añejo seco de oveja,Hacendado,Pieza,340 g aprox.,"5,95 €",Mercadona
Queso añejo tostado mezcla,Hacendado,Pieza,370 g aprox.,"5,96 €",Mercadona
Queso viejo de cabra,Hacendado,Pieza,330 g aprox.,"6,11 €",Mercadona
Queso viejo madurado en cava mezcla,Hacendado,Pieza,315 g aprox.,"4,71 €",Mercadona
Queso añejo ibérico mezcla  cortado en cuñitas,Hacendado,Pieza,320 g aprox.,"5,52 €",Mercadona
Queso semicurado mezcla,Hacendado,Pieza,"1,54 kg aprox.","14,17 €",Mercadona
Queso semicurado mezcla,Hacendado,Pieza,"1,08 kg aprox.","10,80 €",Mercadona
Queso semicurado mezcla,Hacendado,Pieza,420 g aprox.,"4,12 €",Mercadona
Queso semicurado mezcla  cortado en cuñitas,Hacendado,Pieza,340 g aprox.,"4,64 €",Mercadona
Queso semicurado de cabra,Hacendado,Pieza,390 g aprox.,"5,66 €",Mercadona
Queso semicurado sin lactosa mezcla,Hacendado,Pieza,430 g aprox.,"5,42 €",Mercadona
Queso tierno  cheddar,Hacendado,Pieza,300 g,"2,70 €",Mercadona
Queso emmental de vaca,Hacendado,Pieza,350 g,"2,85 €",Mercadona
Queso tierno de vaca  cortado en cuñitas,Hacendado,Pieza,320 g aprox.,"2,50 €",Mercadona
Queso tierno mezcla,Hacendado,Pieza,"1,22 kg aprox.","10,37 €",Mercadona
Queso tierno mezcla,Hacendado,Pieza,350 g aprox.,"3,11 €",Mercadona
Queso tierno mezcla  cortado en cuñitas,Hacendado,Pieza,325 g aprox.,"3,90 €",Mercadona
Queso tierno bajo en sal mezcla,Hacendado,Pieza,350 g aprox.,"3,66 €",Mercadona
Queso tierno maasdam de vaca,Holland Corona,Pieza,400 g,"3,35 €",Mercadona
Queso tierno gouda de vaca,Holland,Pieza,450 g,"3,30 €",Mercadona
Queso tierno bola edam de vaca,Holland Corona,Pieza,455 g,"3,70 €",Mercadona
