producto,marca,formato,cantidad,precio,supermercado
Queso lonchas cremoso havarti de vaca,Hacendado,Paquete,300 g,"2,75 €",Mercadona
Queso lonchas tierno mezcla,Entrepinares,Paquete,250 g aprox.,"2,39 €",Mercadona
Queso lonchas cremoso light havarti de vaca,Hacendado,Paquete,300 g,"2,75 €",Mercadona
Queso lonchas semicurado mezcla,Entrepinares,Paquete,210 g aprox.,"2,47 €",Mercadona
Queso lonchas fundido sándwich mezcla,Hacendado,Paquete,200 g,"1,20 €",Mercadona
Queso lonchas light mezcla,Entrepinares,Paquete,210 g aprox.,"2,41 €",Mercadona
Queso lonchas gouda de vaca,Hacendado,Paquete,300 g,"2,15 €",Mercadona
Queso lonchas de cabra,Entrepinares,Paquete,220 g aprox.,"3,14 €",Mercadona
Queso lonchas tierno de vaca,Entrepinares,Paquete,300 g,"2,35 €",Mercadona
Queso lonchas fundido suave mezcla,Hacendado,Paquete,555 g,"2,20 €",Mercadona
Queso lonchas edam de vaca,Holland Corona,Paquete,300 g,"2,00 €",Mercadona
Queso lonchas mozzarella de vaca,Hacendado,Paquete,200 g,"1,70 €",Mercadona
Queso lonchas cheddar de vaca,Hacendado,Paquete,200 g,"1,75 €",Mercadona
Queso lonchas emmental de vaca,Hacendado,Paquete,200 g,"2,05 €",Mercadona
Queso lonchas sin lactosa de vaca,Hacendado,Paquete,150 g,"1,92 €",Mercadona
Queso lonchas de oveja,Entrepinares,Paquete,210 g aprox.,"2,99 €",Mercadona
Queso lonchas fundido,El Caserio,Paquete,262 g,"2,55 €",Mercadona
Queso lonchas fundido burger mezcla,Hacendado,Paquete,300 g,"1,75 €",Mercadona
Queso lonchas fundido light,Hacendado,Paquete,300 g,"1,80 €",Mercadona
Queso lonchas raclette de vaca,Entremont,Paquete,400 g,"4,62 €",Mercadona
Queso provolone de vaca,Hacendado,Paquete,200 g,"2,35 €",Mercadona
Queso rallado emmental gratinar,Hacendado,Paquete,200 g,"1,58 €",Mercadona
Queso rallado mozzarella pizza-Roma de vaca,Hacendado,Paquete,200 g,"1,54 €",Mercadona
Queso en polvo especial pasta mezcla,Hacendado,Paquete,150 g,"1,25 €",Mercadona
Queso rallado 4 quesos,Hacendado,Paquete,180 g,"1,65 €",Mercadona
Queso en polvo grana padano,Hacendado,Paquete,100 g,"1,60 €",Mercadona
Queso rallado especial fundir mezcla,Hacendado,Paquete,400 g,"2,05 €",Mercadona
Queso rallado especial fundir mezcla,Hacendado,Paquete,200 g,"1,25 €",Mercadona
Queso rallado sin lactosa de vaca,Hacendado,Paquete,150 g,"1,63 €",Mercadona
Queso rallado gouda de vaca,Hacendado,Paquete,200 g,"1,44 €",Mercadona
Queso en porciones,Hacendado,Caja,24 quesitos (375 g),"2,00 €",Mercadona
Queso en porciones sin lactosa,Hacendado,Caja,8 quesitos (125 g),"1,74 €",Mercadona
Queso en porciones light,Hacendado,Caja,16 quesitos (250 g),"1,49 €",Mercadona
Queso en porciones mini,Babybel,Malla,8 quesitos (160 g),"3,41 €",Mercadona
Queso fundido con palitos,La vaca que ríe,Caja,4 tarrinas (140 g),"2,39 €",Mercadona
