producto,marca,formato,cantidad,precio,supermercado
Queso untar suave de vaca,Hacendado,Tarrina,300 g,"1,29 €",Mercadona
Queso untar original,Philadelphia,Tarrina,270 g,"2,74 €",Mercadona
Queso untar light,Philadelphia,Tarrina,270 g,"2,74 €",Mercadona
Queso untar light de vaca,Hacendado,Tarrina,300 g,"1,29 €",Mercadona
Crema de queso camembert,Hacendado,Tarrina,150 g,"1,59 €",Mercadona
Mousse de queso de vaca con ajo y finas hierbas,Hacendado,Tarrina,150 g,"1,30 €",Mercadona
Queso untar de vaca con finas hierbas,Hacendado,Tarrina,200 g,"1,54 €",Mercadona
Crema de queso suave,Hacendado,Tarrina,125 g,"1,15 €",Mercadona
Queso untar con queso azul de vaca,Hacendado,Tarrina,200 g,"1,68 €",Mercadona
Queso untar sin lactosa de vaca,Hacendado,Tarrina,200 g,"1,68 €",Mercadona
Crema de queso viejo tostado mezcla,Hacendado,Tarrina,150 g,"1,68 €",Mercadona
Queso fresco Burgos natural de vaca,Hacendado,Tarrina,2 tarrinas x 250 g,"1,78 €",Mercadona
Queso fresco Burgos natural de vaca,Hacendado,Tarrina,"6 tarrinas x 62,5 g","1,56 €",Mercadona
Mozzarella fresca de vaca,Hacendado,Paquete,250 g (125 g escurrido),"0,95 €",Mercadona
Queso fresco Burgos desnatado 0% m.g de vaca,Hacendado,Tarrina,"6 tarrinas x 62,5 g","1,56 €",Mercadona
Queso feta mezcla  en dados,Hacendado,Tarrina,370 g (150 g escurrido),"2,35 €",Mercadona
Queso fresco de vaca,Burgo de Arias,Tarrina,3 tarrinas x 72 g,"2,99 €",Mercadona
Mozzarella fresca de vaca  en perlas,Hacendado,Tarrina,300 g (150 g escurrido),"1,85 €",Mercadona
Queso fresco de cabra,Hacendado,Tarrina,250 g,"2,60 €",Mercadona
Queso fresco batido desnatado 0% m.g,Hacendado,Tarrina,500 g,"0,97 €",Mercadona
Queso fresco mascarpone de vaca,Hacendado,Tarrina,250 g,"2,45 €",Mercadona
Queso fresco para ensaladas de vaca  en dados,Hacendado,Tarrina,200 g,"1,95 €",Mercadona
Queso fresco de vaca,Hacendado,Tarrina,250 g,"1,60 €",Mercadona
Queso fresco batido desnatado 0% m.g,Hacendado,Tarrina,4 tarrinas x 120 g,"1,45 €",Mercadona
Mozzarella fresca di bufala campana,Hacendado,Tarrina,280 g (125 g escurrido),"1,73 €",Mercadona
Queso fresco light de vaca,Hacendado,Tarrina,250 g,"2,12 €",Mercadona
Queso fresco 0% m.g de vaca,Burgo de Arias,Tarrina,3 tarrinas x 72 g,"2,99 €",Mercadona
Requesón mezcla,Montesinos,Tarrina,200 g,"1,00 €",Mercadona
Queso fresco Burgos sin lactosa de vaca,Hacendado,Tarrina,"4 tarrinas x 62,5 g","1,68 €",Mercadona
Queso fresco Burgos bajo en sal de vaca,Hacendado,Tarrina,"4 tarrinas x 62,5 g","1,39 €",Mercadona
Queso fresco sin lactosa de vaca,Hacendado,Tarrina,250 g,"2,40 €",Mercadona
Queso ricotta mezcla,Hacendado,Tarrina,200 g,"1,80 €",Mercadona
Mozzarella fresca light de vaca,Hacendado,Paquete,250 g (125 g escurrido),"1,00 €",Mercadona
Burrata fresca,Hacendado,Tarrina,250 g (150 g escurrido),"2,20 €",Mercadona
Queso fresco cottage semidesnatado de vaca,Hacendado,Tarrina,200 g,"1,20 €",Mercadona
Queso fresco de vaca y cabra,Hacendado,Tarrina,250 g,"2,15 €",Mercadona
Queso rulo de cabra,Hacendado,Paquete,200 g,"2,30 €",Mercadona
Queso roquefort de oveja,Hacendado,Pieza,100 g,"1,75 €",Mercadona
Queso camembert de vaca,Marcillat,Caja,240 g,"1,83 €",Mercadona
Queso azul Danés Danablu de vaca,Viking,Pieza,100 g,"1,55 €",Mercadona
Queso azul de vaca,Hacendado,Pieza,180 g,"2,15 €",Mercadona
Queso de cabra  en medallones,Président,Paquete,200 g,"3,32 €",Mercadona
Queso de cabra,Montesinos,Tarrina,2 tarrinas x 100 g,"3,00 €",Mercadona
Queso rulo con piña y almendra,Liptana,Bandeja,100 g,"1,39 €",Mercadona
Queso brie marcillat de vaca,Plaisir de Roy,Pieza,200 g,"1,60 €",Mercadona
Queso gorgonzola de vaca,Hacendado,Pieza,170 g aprox.,"2,01 €",Mercadona
