producto,marca,formato,cantidad,precio,supermercado
Sopa de pollo  con fideos finos,Gallina Blanca,Sobre,71 g,"0,85 €",Mercadona
Sopa de pollo  con fideos finos,Hacendado,Sobre,2 sobres x 80 g,"1,00 €",Mercadona
Sopa de cebolla,Hacendado,Sobre,2 sobres x 50 g,"1,30 €",Mercadona
Sopa maravilla,Hacendado,Sobre,85 g,"0,65 €",Mercadona
Tallarines Formaggio  salsa cremosa de queso,Hacendado,Sobre,190 g,"1,30 €",Mercadona
Sopa de miso,Hacendado,Paquete,3 ud.,"2,25 €",Mercadona
Sopa de verduras,Gallina Blanca,Sobre,51 g,"0,85 €",Mercadona
Caldo de pollo,Hacendado,Brick,1 L,"0,80 €",Mercadona
Caldo de pollo casero,Gallina Blanca,Brick,1 L,"2,20 €",Mercadona
Caldo de pescado,Hacendado,Brick,1 L,"1,15 €",Mercadona
Caldo de cocido casero,Gallina Blanca,Brick,1 L,"2,20 €",Mercadona
Caldo de verduras,Hacendado,Brick,1 L,"1,00 €",Mercadona
Caldo de marisco o fideuá para paella  con sofrito,Hacendado,Brick,1 L,"2,10 €",Mercadona
Caldo de pollo  bajo en sal,Hacendado,Brick,1 L,"1,20 €",Mercadona
Caldo para paella de carne  con sofrito,Hacendado,Brick,1 L,"2,25 €",Mercadona
Caldo de cocido,Hacendado,Brick,1 L,"0,90 €",Mercadona
Caldo de carne  en pastillas,Hacendado,Caja,12 ud. (120 g),"0,85 €",Mercadona
Caldo de pollo  en pastillas,Avecrem,Caja,24 ud. (240 g),"2,95 €",Mercadona
Caldo de pescado  en pastillas,Hacendado,Caja,12 ud. (120 g),"0,85 €",Mercadona
Doble caldo sabor clásico carne  en pastillas,Knorr,Caja,16 ud. (160 g),"1,65 €",Mercadona
Caldo de pollo  en pastillas,Hacendado,Caja,24 ud. (240 g),"1,40 €",Mercadona
Caldo de verduras  en pastillas,Hacendado,Caja,12 ud. (120 g),"0,85 €",Mercadona
