producto,marca,formato,cantidad,precio,supermercado
Tarta carrot cake  congelada,Hacendado,Bandeja,10 raciones (750 g),"11,00 €",Mercadona
Tarta red velvet  congelada,Hacendado,Bandeja,10 raciones (700 g),"9,50 €",Mercadona
Tarta dúo sabores  congelada,Hacendado,Bandeja,"12 raciones (1,09 kg)","11,00 €",Mercadona
Tarta Ferrer bombón crujiente  congelada,Hacendado,Bandeja,8 raciones (710 g),"9,50 €",Mercadona
Tarta tres chocolates  congelada,Hacendado,Bandeja,8 raciones (880 g),"8,90 €",Mercadona
Mousse de queso  congelado,Hacendado,Bandeja,6 raciones (520 g),"7,50 €",Mercadona
Tarta de tiramisú  congelada,Hacendado,Bandeja,6 raciones (500 g),"9,50 €",Mercadona
Tarta de la abuela  congelada,Hacendado,Bandeja,10 raciones (825 g),"8,30 €",Mercadona
Tarta selva negra  congelada,Hacendado,Bandeja,"30 raciones (1,9 kg)","13,90 €",Mercadona
Mousse de limón  congelado,Hacendado,Bandeja,9 raciones (805 g),"11,00 €",Mercadona
Trenza hojaldre de mantequilla  congelada,Hacendado,Bandeja,430 g,"7,00 €",Mercadona
Tarta Reina  congelada,Hacendado,Bandeja,8 raciones (670 g),"9,00 €",Mercadona
Tarta crema avellana blanca  congelada,Hacendado,Bandeja,10 raciones (880 g),"9,50 €",Mercadona
Tarta infantil Paw Patrol  congelada,Hacendado,Bandeja,8 raciones (635 g),"8,50 €",Mercadona
Tarta infantil Tesia and Friends  congelada,Hacendado,Bandeja,"20 raciones (1,4 kg)","13,80 €",Mercadona
Tarta infantil DC Comics  congelada,Hacendado,Bandeja,"20 raciones (1,4 kg)","13,80 €",Mercadona
