producto,marca,formato,cantidad,precio,supermercado
Tomate triturado,Hacendado,Bote,800 g,"0,98 €",Mercadona
Tomate triturado,Hacendado,Bote,400 g,"0,72 €",Mercadona
Tomate frito,Hacendado,Brick,3 bricks x 400 g,"1,40 €",Mercadona
Tomate frito,Hacendado,Brick,3 mini bricks x 210 g,"1,00 €",Mercadona
Tomate frito,Hacendado,Tarro,560 g,"0,85 €",Mercadona
Tomate frito receta artesana,Hacendado,Tarro,560 g,"2,40 €",Mercadona
Tomate frito receta artesana,Hacendado,Tarro,300 g,"1,65 €",Mercadona
Tomate frito estilo casero,Hacendado,Brick,380 g,"1,30 €",Mercadona
Tomate troceado pelado,Hacendado,Bote,410 g,"0,85 €",Mercadona
Tomate frito,Hida,Bote,400 g,"1,75 €",Mercadona
Fritada pisto,Hacendado,Brick,380 g,"1,40 €",Mercadona
Tomate entero pelado,Hacendado,Bote,800 g (480 g escurrido),"1,40 €",Mercadona
Tomate entero pelado,Hacendado,Bote,400 g (240 g escurrido),"0,80 €",Mercadona
Tomate frito  con aceite de oliva,Hacendado,Brick,3 mini bricks x 210 g,"1,40 €",Mercadona
Tomate frito sin azúcares añadidos,Hacendado,Tarro,560 g,"1,10 €",Mercadona
Tomate doble concentrado  extra,Hacendado,Bote,170 g,"1,00 €",Mercadona
Tomate para untar  con aceite de oliva,Hacendado,Tarro,2 tarritos x 160 g,"1,65 €",Mercadona
Tomate tamizado sin piel,Hacendado,Brick,390 g,"0,90 €",Mercadona
Tomate seco  en aceite de oliva,Hacendado,Tarro,190 g,"2,30 €",Mercadona
