producto,marca,formato,cantidad,precio,supermercado
Filetes de vacuno 1º B añojo para plancha o guisar,Hacendado,Bandeja,500 g aprox.,"7,25 €",Mercadona
Tacos de vacuno añojo para guisar,Hacendado,Bandeja,600 g aprox.,"7,80 €",Mercadona
Lomo de vacuno añojo para plancha,Hacendado,Bandeja,500 g aprox.,"9,25 €",Mercadona
Filetes de vacuno al ajillo,Hacendado,Bandeja,450 g aprox.,"7,11 €",Mercadona
Solomillo de vacuno añojo para plancha,Hacendado,Bandeja,300 g aprox.,"11,07 €",Mercadona
Carpaccio de vacuno,Hacendado,Bandeja,110 g,"3,75 €",Mercadona
Filetes de vacuno añojo para plancha,Hacendado,Bandeja,500 g aprox.,"7,60 €",Mercadona
Entrecot de vacuno añojo fino para barbacoa o plancha,Hacendado,Bandeja,500 g aprox.,"11,10 €",Mercadona
Entrecot de vacuno añojo grueso para barbacoa o plancha,Hacendado,Bandeja,380 g aprox.,"8,44 €",Mercadona
Filetes hígado de vacuno añojo,Hacendado,Bandeja,600 g aprox.,"5,52 €",Mercadona
Filetes de vacuno añojo para empanar,Hacendado,Bandeja,500 g aprox.,"7,55 €",Mercadona
Chuletón de vacuno añojo para barbacoa o plancha,Hacendado,Bandeja,550 g aprox.,"10,45 €",Mercadona
