producto,marca,formato,cantidad,precio,supermercado
Vela de cumpleaños 0,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 1,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 2,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 3,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 4,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 5,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 6,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 7,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 8,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Vela de cumpleaños 9,Hacendado,Paquete,1 ud.,"0,75 €",Mercadona
Velas de cumpleaños,Hacendado,Paquete,20 velas,"0,90 €",Mercadona
Almendra molida,Hacendado,Paquete,125 g,"2,07 €",Mercadona
Coco rallado,Hacendado,Paquete,125 g,"1,10 €",Mercadona
Caramelo líquido,Hacendado,Bote,300 g,"1,75 €",Mercadona
Fideos de chocolate,Hacendado,Paquete,100 g,"1,45 €",Mercadona
Azúcar vainillado,Hacendado,Paquete,120 g,"1,00 €",Mercadona
Almendra cubitos,Hacendado,Paquete,125 g,"2,07 €",Mercadona
Almendra laminada,Hacendado,Paquete,125 g,"2,07 €",Mercadona
Cacahuete +Proteínas en polvo desgrasado  14 g proteínas 70% reducido en grasa,Hacendado,Paquete,200 g,"2,75 €",Mercadona
Sirope de chocolate,Hacendado,Bote,300 g,"2,15 €",Mercadona
