producto,marca,formato,cantidad,precio,supermercado
Cerillas,Flam'up,Caja,3 unidades,"0,99 €",Dia
Pila alcalina aaa,Cegasa,Blister,4 unidades,"3,69 €",Dia
Cañitas de papel de 4 colores,Betik,Bolsa,48 unidades,"1,39 €",Dia
Pila alcalina aa,Varta,Blister,4 unidades,"3,39 €",Dia
Pila alcalina aa,Cegasa,Blister,4 unidades,"3,69 €",Dia
Pila alcalina aaa,Varta,Blister,4 unidades,"3,39 €",Dia
Platos de cartón redondo kraft de 22 cm,Betik,Bolsa,20 unidades,"1,99 €",Dia
Pastillas de encendido,Uni fuego,Caja,36 unidades,"1,65 €",Dia
Filtro 1x4 para café  ,Melitta,Caja,40 unidades,"2,65 €",Dia
Mechero mini curve,Flam'up,Blister,3 unidades,"2,69 €",Dia
Vasos desechables compostable de 35 cl,Betik,Bolsa,15 unidades,"1,99 €",Dia
Briqueta de carbón,Los rivera,Bolsa,3 Kg,"3,69 €",Dia
Vasos de papel kraft de 24 cl,Betik,Pack,12 unidades,"1,99 €",Dia
Pila alcalina power aa,Varta,Blister,4 unidades,"4,99 €",Dia
Carbón vegetal,Los rivera,Bolsa,3 Kg,"4,29 €",Dia
Pila alcalina max power aa,Varta,Blister,4 unidades,"6,09 €",Dia
Cuchillo de maíz 180 mm,Betik,Bolsa,6 unidades,"0,60 €",Dia
Vasos desechables compostable de 1 lt,Betik,Bolsa,10 unidades,"3,25 €",Dia
