producto,marca,formato,cantidad,precio,supermercado,categoria
Manzana golden,Dia,Bolsa,1 Kg,1.99,Dia,Fruta y verduras
Manzana roja,Dia,Bolsa,1 Kg,2.19,Dia,Fruta y verduras
Manzana pink lady,Dia,Bandeja,550 g,1.99,Dia,Fruta y verduras
Manzana golden,Dia,Granel,1 Kg,2.19,Dia,Fruta y verduras
Manzana granny,Dia,Granel,800 g,1.75,Dia,Fruta y verduras
Manzana fuji,Dia,Bolsa,1 Kg,2.29,Dia,Fruta y verduras
Manzana roja selección,Dia,Granel,1 Kg,2.69,Dia,Fruta y verduras
Bebida espirituosa tipo brandy,Gladiador,Botella,1 l,5.99,Dia,Bebidas con alcohol
Brandy,Veterano,Botella,1 l,9.35,Dia,Bebidas con alcohol
Brandy de Jerez solera reserva,Magno,Botella,70 cl,11.99,Dia,Bebidas con alcohol
Brandy de Jerez solera,Gladiador,Botella,70 cl,6.79,Dia,Bebidas con alcohol
Brandy,Centenario,Botella,1 l,9.49,Dia,Bebidas con alcohol
Brandy de Jerez,Soberano,Botella,70 cl,7.99,Dia,Bebidas con alcohol
Brandy,Torres,Botella,  70 cl,10.5,Dia,Bebidas con alcohol
Brandy de Jerez solera gran reserva,Alma de magno,Botella,70 cl,16.79,Dia,Bebidas con alcohol
Huevos super grandes XL,Hacendado,Paquete,12 ud.,3.25,Mercadona,Huevos
Huevos grandes L,Hacendado,Paquete,12 ud.,2.2,Mercadona,Huevos
Huevos grandes L,Hacendado,Paquete,6 ud.,1.2,Mercadona,Huevos
Huevos medianos M,Hacendado,Paquete,12 ud.,2.0,Mercadona,Huevos
Huevos de gallinas camperas,Hacendado,Paquete,12 ud.,2.62,Mercadona,Huevos
Huevos de gallinas camperas,Hacendado,Paquete,6 ud.,1.59,Mercadona,Huevos
Huevos cocidos,Hacendado,Paquete,6 ud.,1.6,Mercadona,Huevos
Huevos de codorniz,Hacendado,Paquete,18 ud.,1.65,Mercadona,Huevos
Claras de huevo líquidas pasteurizadas,Hacendado,Botella,1 L,2.6,Mercadona,Huevos
Claras de huevo líquidas pasteurizadas,Hacendado,Botella,300 ml,1.55,Mercadona,Huevos
Huevos,Hacendado,Paquete,24 ud.,3.8,Mercadona,Huevos
Cerveza extra malta,Ramblers,Lata,33 cl,0.53,Dia,Bebidas con alcohol
Cerveza tostada,Ramblers,Lata,33 cl,0.49,Dia,Bebidas con alcohol
Cerveza de trigo,Ramblers,Botella,50 cl,1.05,Dia,Bebidas con alcohol
Cerveza muy suave,Ramblers,Botella,33 cl,0.89,Dia,Bebidas con alcohol
Cerveza,Ramblers,Lata,  33 cl,0.45,Dia,Bebidas con alcohol
Cerveza doble malta,Voll Damm,Lata,33 cl,0.99,Dia,Bebidas con alcohol
Cerveza mexicana,Corona,Botella,35.5 cl,1.5,Dia,Bebidas con alcohol
Cerveza reserva,Alhambra,Botella,  4 x 33 cl,5.89,Dia,Bebidas con alcohol
Cerveza reserva,Alhambra,Botella,  6 x 225 ml,5.99,Dia,Bebidas con alcohol
Cerveza con tequila,Desperados,Botella,33 cl,1.49,Dia,Bebidas con alcohol
Cerveza especial blue,Salitos,Botella,33 cl,1.75,Dia,Bebidas con alcohol
Cerveza,Franz,Botella,50 cl,1.86,Dia,Bebidas con alcohol
Cerveza especial negra,Ramblers,Lata,33 cl,0.53,Dia,Bebidas con alcohol
